"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"2319",2,"SIA/UP/NCP/72218/2018","3976","RADHIKA ORCHID (Residential Plotted Development Project)","MARS DEVELOPERS & BUILDTECH INDIA PVT. LTD.","Delisted","EC",NA
"2320",4,"SIA/UP/MIN/401548/2022","7265-7013","“Building Stone (Granite)(Khanda / Gitti / Boulder / Pahadi Lal Morrum) Mine”","M/S EIKONHEIGHTS INFRASTRUCTURE PVT LTD","EC Granted","EC",NA
"2321",5,"SIA/UP/MIN/71542/2017","3907","M/s Shri
Rambahadur – Sand Mining located at Gata
No. 24 Mi, Village- Manjha Vargi Nizampur,
Tehsil - Tanda, District- Ambedkar Nagar, U.P.
Area: 12.478 acre (5.05 ha)","M/S RAMBAHADUR-SAND MINING","EC Granted","EC",NA
"2322",6,"SIA/UP/MIN/29385/2018","4508","M/S Jai Bajrang Traders","JAI BAJRANG  TRADERS","EC Granted","EC",NA
"2323",7,"SIA/UP/MIN/27872/2018","4365","-1","MS KUBERKAMNA MARBELS PVT LTD","EC Granted - Processed offline","EC",NA
"2324",8,"SIA/UP/NCP/72479/2018","4016","Medical College","UTTAR PRADESH RAJKIYA NIRMAN NIGAM LIMITED","Delisted","EC",NA
"2325",10,"SIA/UP/INFRA2/404755/2022","7319-6496","Proposed Expansion Project of Common Bio Medical Waste Treatment facility for SMS WATERGRACE MEDIWASTE MANAGEMENT PVT. LTD. located in Bindowa, UP","SMS WATERGRACE MEDIWASTE MANAGEMENT PVT. LTD.","EC Granted","EC",NA
"2326",3,"SIA/UP/NCP/60835/2016","3806","Group Housing","SAHA INFRATECH PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"2327",6,"SIA/UP/MIN/72258/2018","3994","Bhidauni khadar Ordinary Sand Mine Project","PROJECT PROPONENT","EC Granted","EC",NA
"2328",7,"SIA/UP/INFRA2/447303/2023","8340","Proposed Commercial Project at Plot C3-H2, J.P. Wish Town, Sector-129, Noida, (U.P) by M/s Star Landcraft Pvt. Ltd","STAR LANDCRAFT PRIVATE LIMITED","EC Granted","EC",NA
"2329",8,"SIA/UP/NCP/65829/2017","","M/s Perigee Land & Housing Pvt.Ltd.","PERIGEE LAND AND HOUSING PRIVATE LIMITED","Under examination of SEIAA - Processed offline","EC",NA
"2330",9,"SIA/UP/MIN/403903/2022","7298","Ordinary earth mine, over an area- 2.061 ha. in Khasra/Gata No.- 1001, 1015, 1014 & 1010 mi at Village- Mohammadpur, Tehsil- Nawabganj, District- Barabanki, Uttar Pradesh developed by Ankit Kumar shukla","ANKIT SHUKLA","EC Granted","EC",NA
"2331",10,"SIA/UP/MIN/400909/2022","7272","Ordinary Sand Mining Project on Kura River","KABIR NIRMAN PRIVATE LIMITED","EC Granted","EC",NA
"2332",8,"SIA/UP/MIN/44855/2019","5513","DANISH KHAN","DANISH KHAN","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"2333",4,"SIA/UP/MIS/40206/2019","4972","ATS Destinaire","STARCITY BUILDCON PVT. LTD.","EC Granted","EC",NA
"2334",5,"SIA/UP/IND/112766/2019","4968","Proposal for Environment Clearance of proposed capacity expansion from 2.70 MTPA to 3.25 MTPA (20.3 % increased) under EIA notification 2006 clause (ii), Diamond Cement, (Prop: HeidelbergCement India","DIAMOND CEMENT  UNIT JHANSI","EC Granted","EC",NA
"2335",6,"SIA/UP/MIN/40352/2019","","GYAN PRAKASH SINGH ENT UDYOG","GYAN PRAKASH SINGH ENT UDYOG","Delisted","EC",NA
"2336",8,"SIA/UP/MIN/136541/2020","5372","Ordinary earth Mine, Village-Umaran & Bilwahar, Tehsil-Akbarpur, District Kanpur dehat developed by Baba shiv enterprises, Pawan dwivedi","BABA SHIV ENTERPRISES","EC Granted","EC",NA
"2337",10,"SIA/UP/MIN/67307/2020","6544-5676","“Granite (Khanda,  Gitti, Boulder & Pahadi Red Morrum)” Project at Gata No.-2131/08, Village- Raulikalyanpur, Tehsil- Karwi, District- Chitrakoot, U.P. (Leased Area : 4.0481 ha.)","RAHUL YADAV","EC Granted","EC",NA
"2338",9,"SIA/UP/MIN/407016/2022","7379-6988","BILLI MARKUNDI KHANDA, BOULDER,(DOLO STONE) DEPOSIT MINING PROJECT","GEETANJALI CHAUBEY","EC Granted","EC",NA
"2339",10,"SIA/UP/MIN/74852/2018","4306","Riverbed Sand/Morrum mining project from Burma River for Smt. Kaushilya Chaubey Contractor located at Khand No. 5 (Gata No.- 361, 511, 483/2, 406/1), Village - Tingura, Pahariya, Itaura Buzurg, Tehsil - Kulpahar, District - Mahoba, Uttar Pradesh. San","SMT KAUSHILYA CHOBEY CONTRACTOR","EC Granted","EC",NA
"2340",5,"SIA/UP/MIN/31928/2019","","“Brick Earth Mining” Project at Gata No. 923, 869, 1300, 924 at Village: Mahrajganj Grant, Tehsil: Mankapur, District: Gonda (U.P.). Total lease Area is 1.929 Ha","M/S KAMLA BRICK FIELD","Delisted","EC",NA
"2341",6,"SIA/UP/MIN/32073/2019","","“Brick Earth Mining” Project at Gata No. 5419, 5416, 5473, 4490, 4498, 5972, 6871 at Village: Kuk Nagar Grint, Tehsil: Mankapur, District: Gonda (U.P.). Total lease Area is 4.716 Ha.","RAM UJAGAR VERMA","Delisted","EC",NA
"2342",7,"SIA/UP/MIN/149446/2020","5632","Proposed “Soil Excavation” Project at Gata No.– 598Ka, 599, 613, 615, 616, Village- Bahelia, Tehsil- Malihabad, District- Lucknow, Uttar Pradesh","M/S C. L. CONSTRUCTION","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"2343",8,"SIA/UP/MIS/149814/2020","","Residential Apartment “Pushpanjali Heights” Mauza Mau, Tehsil and Distt. Agra, U.P.","M/S PAAWAN SAHAKARI AVAS SAMITI LTD","Delisted","EC",NA
"2344",1,"SIA/UP/IND2/21917/2016","4115","SIA/UP/IND2/16969/2016","INDIAN OIL CORPORATION LIMITED ALIGARH","EC Granted","EC",NA
"2345",2,"SIA/UP/MIN/410077/2022","7465","Ordinary Soil Excavation Project","MOHD MONISH","Delisted","EC",NA
"2346",3,"SIA/UP/MIN/404887/2022","7348","Building Stone- Sandstone (Khandas, Boulder, Gitti) Mining Project","DIVYA LATA","EC Granted","EC",NA
"2347",4,"SIA/UP/INFRA2/406113/2022","7336","Uninav Utopia","UNINAV DEVELOPERS PRIVATE LIMITED","EC Granted","EC",NA
"2348",5,"SIA/UP/INFRA2/428665/2023","7870","Proposed Corporate Building at Plot No. 02, Sector-127, Noida, Uttar Pradesh by M/s. Business Bay Corporate Tower Pvt. Ltd.","BUSINESS BAY CORPORATE TOWERS PRIVATE LIMITED","Deferred by SEIAA","EC",NA
"2349",9,"SIA/UP/MIN/426985/2023","7809","Ordinary Soil Excavation Project","VAIBHAV AGARWAL","EC Granted","EC",NA
"2350",10,"SIA/UP/INFRA2/450255/2023","8442","Proposed redevelopment of 800 bedded    S. N. Medical College & Hospital Phase-1 at the campus of Lady Loyal Women’s Hospital Campus at District Agra, Uttar Pradesh.","PRASHANT GUPTA","EC Granted","EC",NA
"2351",1,"SIA/UP/NCP/79143/2018","4485","Proposed Office Building “Shalimar Iridium ”, At TC/G-1/1, Vibhuti Khand, Gomti Nagar,  Lucknow, U.P.","M/S PRESTIGE URBAN INFRATECH PVT. LTD.","EC Granted","EC",NA
"2352",2,"SIA/UP/MIN/72290/2018","3996","“Ordinary Sand Mining” Project in Ganga River at Gata No. – 319 to 357, 358Mi/ 359Mi & 680 to 682, 683Ka, 683Kha, 683Ga, 684 to 688, 689Ka, 689Kha, 690, 691, 692Ka, 692Kha, 692Ga, 693 to 699, 700Ka, 700Kha, & 704, Village- Katriparsola & Chhibramau (","AWADH CONSTRUCTION","EC Granted","EC",NA
"2353",3,"SIA/UP/INFRA2/415976/2023","7590-7311","REVISION OF IT/ITES SEZ PROJECT","ARTHA INFRATECH PRIVATE LIMITED","WithdrawEC","EC",NA
"2354",4,"SIA/UP/MIN/422666/2023","7713-7399","Sand/Morrum","PRIME VISION INDUSTRIES PRIVATE LIMITED","EC Granted","EC",NA
"2355",5,"SIA/UP/MIN/72872/2018","","Area 60.0 Acre/ 24.28 Ha. For  River Sand/Morrum mining Project at Khand No.-11/29 to 11/30 Village – Chhikawa , Tehsil- Manjhanpur, Dist. Kaushambi, U.P","SRI JASPAL SINGH","WithdrawEC","EC",NA
"2356",6,"SIA/UP/IND2/29575/2017","4542","Construction of Additional tankages at Lucknow Terminal, IOCL, Lucknow","Indian Oil Corporation Limited (IOCL)","EC Granted","EC",NA
"2357",7,"SIA/UP/MIN/435033/2023","8020-7346","Building Stone(Sand Stone)","RAS SINGH","EC Granted","EC",NA
"2358",8,"SIA/UP/MIN/439329/2023","8047-7124","Proposed Bhuili Building Stone (Sandstone) Mining Project At Arazi No. 626 (Sl. No. 19),","SHRIMATI GANGAJALI DEVI","EC Granted","EC",NA
"2359",9,"SIA/UP/MIN/20764/2017","3847","“Sand/Moram Mining” Project in Yamuna River at Gata No.- Part of 50, 51, Village- Sadimadanpur, Tehsil- Pailani, District- Banda, U.P. Area- 42.49 Ha.","NATIONAL HIGHWAY AUTHORITY OF INDIA","EC Granted","EC",NA
"2360",10,"SIA/UP/THE/29855/2016","4570","SIA/UP/THE/22519/2018","SILVERTONPULPANDPAPER","EC Granted","EC",NA
"2361",1,"SIA/UP/INFRA2/427290/2023","7811","Group Housing Project “Celeste Towers”","SANJEEV SRIVASTVA","WithdrawEC","EC",NA
"2362",2,"SIA/UP/MIN/443661/2023","8229-7698","Proposed “Granite Gitti, Khanda/ Boulder” Project at Gata No./ Khand No.- 1078 / 16, Village- Gonda, Tehsil- Karwi, District- Chitrakoot, U.P. (Applied Area : 2.0240 ha.) M/s R.S.H.S.M. Commerce Pvt. Ltd.","RSHSM COMMERCE PRIVATE LIMITED","EC Granted","EC",NA
"2363",3,"SIA/UP/MIN/453097/2023","8512","“Imarati Patthar (Sandstone)” Mine, Village- Dashwant Singh Ka Purwa, (Khasra/Gata No.- 217Mi., 218Mi., Lease Area- 1.16 ha.),Tehsil- Sadar, District- Mirzapur, Uttar Pradesh, Project Proponent- Shri Mahendra Nath Mishra","MAHENDRA MISHRA","EC Granted","EC",NA
"2364",4,"SIA/UP/MIN/423366/2023","7730","Ordinary Soil Mining","KANHAIYALAL","EC Granted","EC",NA
"2365",5,"SIA/UP/MIN/89432/2018","","“Granite (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-05, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)","ANIL KUMAR SHUKLA","Delisted","EC",NA
"2366",6,"SIA/UP/MIN/406045/2022","7347","Bhedpur soil mining project","SHREE VERMA","EC Granted","EC",NA
"2367",7,"SIA/UP/NCP/75039/2018","","Antara Senior Living","M/S CONTEND BUILDERS PVT. LTD.","Delisted","EC",NA
"2368",8,"SIA/UP/IND1/424869/2023","7771-7459","environmental clearance of expansion of existing Rolling Mill for the production of TMT Bars from 63000 MT/Year to 99000 MT/Year and existing 24000 MT/Year Ingots production through induction furnace route located at 7th km Bhopa Road, Village - Mustafabad, Muzaffarnagar - 251001 of M/s RSW Steel Private Limited.","RSW STEEL PRIVATE LIMITED","Delisted","EC",NA
"2369",9,"SIA/UP/MIN/30856/2018","4645","sand/morrum","SAICHARAN INFRAHEIGHT PVT LTD","EC Granted","EC",NA
"2370",10,"SIA/UP/MIN/452587/2023","8481","Kurreya Soil Mining Project","KRISHNAKUMAR","ADS by SEAC","EC",NA
"2371",3,"SIA/UP/INFRA2/405395/2022","7321","Proposed Group Housing at Plot No: GH-03A, Sector- 16B, Greater Noida, Uttar Pradesh.","GULSHAN DEVELOPERS PRIVATE LIMITED","EC Granted","EC",NA
"2372",4,"SIA/UP/INFRA2/419343/2023","7664-7615","“Group Housing” at Plot No. 4B, Sector 12, Greater Noida (West), Uttar Pradesh- 201308 by M/s Grand Realtech Limited","GRAND REALTECH LIMITED","EC Granted","EC",NA
"2373",5,"SIA/UP/INFRA2/431261/2023","","Proposed Industrial Building (Republic Media House), a Telecommunication/Media House project at Plot No. B-10, Sector-158, Noida, Gautam Budh Nagar, Uttar Pradesh by M/s ARG Outlier Media Pvt. Ltd","ARG OUTLIER MEDIA PRIVATE LIMITED","WithdrawEC","EC",NA
"2374",6,"SIA/UP/INFRA2/414921/2023","7555","R.S. Residency Affordable houses","MSD INFRABUILD PRIVATE LIMITED","Agenda Uploaded by SEAC","EC",NA
"2375",7,"SIA/UP/MIN/429453/2023","7896","ORDINARY SOIL MINING AT Gata No.-664, 676, 663, 585, 619kha, 619aa, 624, Village-Malaha, Tehsil- Malihabad, District-Lucknow, Uttar Pradesh.","BHUPENDRA MISHRA","EC Granted","EC",NA
"2376",8,"SIA/UP/INFRA2/412890/2023","7505","Environment Clearance for proposed Group Housing on khasra no 83, 84, 88 and 90 of Village- Malookpurkh, Tehsil – Mohanlalganj, Lucknow, U.P. developed by M/s Dragon Age Realtors Pvt. Ltd.","DRAGON AGE REALTORS PRIVATE LIMITED","EC Granted","EC",NA
"2377",9,"SIA/UP/NCP/75961/2018","","Prime Minister Awas Youjna (Proposed EWS Residential Building Project at Bhagirathi & Janvi, Tehsil - Kanpur, Distt., Kanpur (U.P.)","KANPUR DEVELOPMENT AUTHORITY, KANPUR","Delisted","EC",NA
"2378",10,"SIA/UP/MIN/439838/2023","8077-7633","Proposed Chhaprauli Khadar Ordinary Sand Mining project on Yamuna Riverbed","DAYACHAND BADGOTI","EC Granted","EC",NA
"2379",5,"SIA/UP/MIN/236231/2021","6654","building stone (sandstone) mine at village- alhua, tehsil- chunar, mirzapur.","M/S MAA MUNDESHWARI DEVI ENTERPRISES","EC Granted","EC",NA
"2380",6,"SIA/UP/MIN/74745/2021","7128-6312","Chhikahra Building stone khanda boulder ballast  gitti mining project","CHHIKAHRA BUILDING STONE, KHANDA, BOULDER,BALLAST (GITTI) MINING PROJECT","EC Granted","EC",NA
"2381",7,"SIA/UP/MIS/37174/2016","","Plotting and Services Development of Vrindavan yojna-04","EXECUTIVEENGINEER","Delisted","EC",NA
"2382",8,"SIA/UP/MIN/231464/2021","6595","Kothri Gauriya Ordinary Sand Mining project","SHRI MD. AZAM","EC Granted","EC",NA
"2383",4,"SIA/UP/MIN/443999/2023","8244","Mining of Minor Mineral Ordinary Soil","RAMKISHOR","EC Granted","EC",NA
"2384",5,"SIA/UP/NCP/18703/2014","","Chak Ganjaria Township","LUCKNOW DEVELOPMENT AUTHORITY","Under examination of SEIAA - Processed offline","EC",NA
"2385",6,"SIA/UP/MIN/416829/2023","7611","Proposed “Ordinary Soil Excavation” Project at Gata No.– 373, 375, 376, 377, 379, 399 in the Village-Faridnagar,Tehsil-Thakurdwara  District- Moradabad, Uttar Pradesh.","RAZIUDDIN","EC Granted","EC",NA
"2386",7,"SIA/UP/MIN/406142/2022","7338-6922","Building Stone (Khanda, Giiti, Boulder, Red Morrum) Mining Project","ARCHANA SINGH","EC Granted","EC",NA
"2387",8,"SIA/UP/NCP/70728/2017","3857","Commercial project by M/s Gulshan Homes and Infrastructure Private Limited at Plot No. C3 E1 Sector-129 Noida, UP","GULSHAN HOMES AND INFRASTRUCTURE PRIVATE LIMITED","EC Granted","EC",NA
"2388",9,"SIA/UP/NCP/22606/2016","4173","Expansion of Group Housing Project at Plot No GH-04, Sector- Techzone-IV, Greater Noida, Uttar Pradesh","NIRALA INFRATECH PVT LTD","EC Granted","EC",NA
"2389",10,"SIA/UP/NCP/20632/2017","4289","Institutional Complex “Assotech Business Cresterra” at Plot No. 22, Sector -135, Noida, Distt. Gautam Buddh Nagar, (U.P)","ASSOTECH REALTY PVT. LTD.","EC Granted","EC",NA
"2390",5,"SIA/UP/NCP/61349/2016","","Excella Kutumb, Samajwadi Awas Yojna (Group Housing Project)","M/S ABC INFRA PROMOTERS PVT. LTD. /CONSORTIUM","WithdrawEC","EC",NA
"2391",6,"SIA/UP/MIN/72937/2018","4118","Area 40.0 Acre/ 16.194 Ha. For Sand/Morrum mining Project at Khand No. 03 Gata No-267, 268  Village –Kyotra , Tehsil- Kalpi , Dist. Jalaun, U.P","SURESH CHANDRA GUPTA","WithdrawEC","EC",NA
"2392",7,"SIA/UP/INFRA2/452537/2023","8480","Proposed Commercial At Plot No. Sector-A, Pocket-1, At Sushant Golf City Sultanpur Road, Lucknow, Uttar Pradesh","WILMOT INFRATECH PRIVATE LIMITED","EC Granted","EC",NA
"2393",8,"SIA/UP/MIN/442079/2023","8191","“Imarti Patthar Sandstone (Khanda, Gitti, Boulder, Patiya, etc) Mine” at Village- Hardari, (Gata No.2/2, Area- 1.181 Ha.) Tehsil- Lalitpur, District- Lalitpur, Uttar Pradesh, Project Proponent- Shri Deenanath","DEENANATH","WithdrawEC","EC",NA
"2394",9,"SIA/UP/NCP/18250/2015","","Group Housing Project "" Greenarch""","NEW WAY HOMES PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"2395",10,"SIA/UP/INFRA2/449220/2023","8370","Proposed Group Housing Project at GH-2C, Sector-12, Greater Noida, Uttar Pradesh","ELDECO REAL ESTATE LIMITED","EC Granted","EC",NA
"2396",10,"SIA/UP/MIN/425139/2023","7779-7028","Proposed Dakahi Building Stone (Sandstone) Mining Project At Arazi No 37, Sl.no.14, Village- Dakahi, Tehsil- Chunar District-Mirzapur State-U.P","MANISH KUMAR","EC Granted","EC",NA
"2397",10,"SIA/UP/MIN/426404/2023","7788","Ordinary Earth Mining Project","SUMIT SINGH","EC Granted","EC",NA
"2398",1,"SIA/UP/MIN/39963/2019","4958","M/S DAUJI ENT UDHYOG","MS DAUJI ENT UDHYOG","EC Granted","EC",NA
"2399",2,"SIA/UP/MIS/112578/2019","4963","Velodrome Guru Govind Singh Sports College","PRINCIPAL","Delisted","EC",NA
"2400",4,"SIA/UP/MIN/44852/2019","","Chaudhary Eint Udyog","CHAUDHARY EINT UDYOG","Delisted","EC",NA
"2401",10,"SIA/UP/MIN/78059/2021","7146-6314","Building stone Sand stone (Gitti, Boulder, Khanda)","M/S KANHA ENTERPRISES","EC Granted","EC",NA
"2402",1,"SIA/UP/MIN/426159/2023","7785-7176","Proposed Sonpur Building Stone (Sandstone) Mining Project At Arazi No 1?, Sl.no.39","CHANDER SINGH","EC Granted","EC",NA
"2403",2,"SIA/UP/MIN/73108/2018","4113","“Ordinary Sand Mining” Project at Gata No.- 8Ka/195, Village- Ratauli, Tehsil- Laharpur, District- Sitapur, U.P. 
(Applied Area: 8.0 ha.)","SANJAY SINGH CONSTRUCTION","EC Granted","EC",NA
"2404",3,"SIA/UP/MIN/75076/2018","4314","Area 14.82 Acres
(6.00Ha) Ordinary Sand Mining Project at Khand No- 09 Village- Jagdishpur, Tehsil- Bara
District- Allahabad U.P.","MSSAKSHI CONSTRUCTION COMPANY","Delisted","EC",NA
"2405",4,"SIA/UP/MIN/422330/2023","7708-7104","Area:0.809 Ha Building stone (Sandstone) Mining project at Araji/Gata no.428, Village-Dhuriya, Tehsil- Chunar, District-Mirzapur, U.P.","SANJAY SINGH","EC Granted","EC",NA
"2406",6,"SIA/UP/NCP/30026/2015","","Construction of Proposed Group Housing at Plot no. GH-02B-1, Sector 10, Greater Noida.","BULLAND REALTORS PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"2407",7,"SIA/UP/NCP/71737/2017","3930","Multistory Building, Row Houses& Commercial Space","OFFICER","EC Granted","EC",NA
"2408",10,"SIA/UP/MIN/421669/2023","7732","“Ordinary Earth Mine”, Village- Barauli, Tehsil- Nawabganj, District- Barabanki, Uttar Pradesh (Khasra/Gata no.- 89 & 112, Area- 1.079 Ha.) developed by Shri Shubham Yadav","SHRI SHUBHAM YADAV","EC Granted","EC",NA
"2409",3,"SIA/UP/MIN/63433/2019","6304/5017","“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.- 2451 (Khand No.- 02), Village- Jarar, Tehsil- Naraini, District- Banda, U.P. (Applied Area : 1.21 ha.)","ATHARV CONSTRUCTION COMPANY","EC Granted","EC",NA
"2410",4,"SIA/UP/MIN/239863/2021","6691","Area- 5.0 Ha Ordinary River Sand Mining project at Khand No-31, Village- Paranipur-III (from tower of hightension line up to constructing tower of high tension line) & Kandla Mawaiya (Ganga River), Tehsil- Meja/Handiya District- Prayagraj, U.P.","SMT. SHAKUNTALA","EC Granted","EC",NA
"2411",5,"SIA/UP/MIN/232983/2021","6613","Building Stone (Khanda, Boulder, Bailast (Gitti))","MS J S ENTERPRISES","EC Granted","EC",NA
"2412",10,"SIA/UP/MIN/134433/2019","5353","Soil Excavation Project”","M/S MAA VINDYAWASHINI BUILDER","EC Granted","EC",NA
"2413",8,"SIA/UP/NCP/30546/2018","4657","INFOSYS-NOIDA CAMPUS  ""IT/ITES PARK""","M/S INFOSYS LIMITED","EC Granted","EC",NA
"2414",9,"SIA/UP/NCP/81729/2018","4520","Naman Tower","M/S SHERVANI INDUSTRIAL SYNDICATE LTD.","EC Granted","EC",NA
"2415",10,"SIA/UP/MIN/423435/2023","7741-6465","Sariya Building Stone (Sandstone) Mining project","SHRI SANJAY BHAI PATEL","EC Granted","EC",NA
"2416",5,"SIA/UP/MIN/245615/2021","6773","Daun Khanda- Boulder/ Gitti-Ballast Mining project","M/S DEEP BUILDERS","EC Granted","EC",NA
"2417",8,"SIA/UP/MIN/126049/2019","5208","Ordinary Earth (Clay) mining to be used in Brick Kiln M/s Surya Brick Field from Gata No. 107, 108, 71, 127, 86, 126 Village- Sakhauli Khurd, Tehsil- Lambhua, District- Sultanpur, Uttar Pradesh","M/S SURYA BRICK FIELD","EC Granted","EC",NA
"2418",1,"SIA/UP/MIN/29663/2018","4549","Moram Mining at Yamuna river bed in Gata No.- 33,34,38,39,50,51,56,57 of Khand No. S.P. 1 & 2 in Village- Salempur, Tehsil Khaga, District -Fatehpur, U.P","SHRI ADITYA BUILDING MATERIAL SUPPLIERS AND CONTRACTORS","EC Granted","EC",NA
"2419",2,"SIA/UP/MIN/39996/2018","4962","M/s Katyayni Natural Resources Ltd. located at Gata No. Part of 195/1, Village - Lahureta, Tehsil - Naraini, District - Banda, Uttar Pradesh.","MS KATAYANI NATURAL RESOURCES LTD","EC Granted","EC",NA
"2420",6,"SIA/UP/MIN/30524/2018","4618","Jatajuwa stone (granite, khanda, gitti, boulder mining project","CHAMPION GROUP OF COMPANY","Delisted","EC",NA
"2421",1,"SIA/UP/MIN/36738/2019","4847","Sand/Morrum Mining project","SAI ENT UDYOG","EC Granted","EC",NA
"2422",2,"SIA/UP/MIN/35462/2019","","Imarati Patthar, khanda, Gitti, Boulder Mining at Gata No.-339, Khand-11, Village-Deherra, Mahoba. Ramesh Kumar  Mishra, Area-0.809 Ha","RAMESH MISHRA","Delisted","EC",NA
"2423",3,"SIA/UP/MIN/138147/2020","","Salhipur (Gata No. 1470, 1428, 1432, 505 & 503K) brick earth mining project.","M/S VIVEK BRICK FIELD","Delisted","EC",NA
"2424",4,"SIA/UP/MIN/138126/2020","5473","Soil mining project","MUDASSIR KHAN","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"2425",5,"SIA/UP/MIN/138534/2020","5470","Ordinary Soil Mining Project By Jitendra Singh","JITENDRA SINGH MINING PROJECT","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"2426",6,"SIA/UP/MIN/238050/2021","6672","ORDINARY SOIL MINING PROJECT","SHRI BHUVENESH PRATAP SINGH","EC Granted","EC",NA
"2427",7,"SIA/UP/MIS/125212/2019","5280","Group Housing Project","GNIDA","EC Granted","EC",NA
"2428",8,"SIA/UP/MIN/130846/2019","","Brick Earth Mining Project","M/S MALIK BROTHERS","Delisted","EC",NA
"2429",9,"SIA/UP/MIN/31276/2019","4669","Allipur Barwara Kham Sand mining project","SHREE NATH JI FILLING STATION","EC Granted","EC",NA
"2430",10,"SIA/UP/MIN/125580/2019","5192","M/S SHRI RAM ENT  UDHYOG","M/S SHRI RAM ENT UDHYOG","EC Granted","EC",NA
"2431",5,"SIA/UP/MIN/42424/2019","5035","M/s Maa Shitala Stone","M/S MAA SHITALA STONE","EC Granted","EC",NA
"2432",9,"SIA/UP/MIN/144127/2020","5536","Proposed “Soil Excavation” Project at Gata No. – 114, Village- Malaha, Tehsil- Malihabad, District- Lucknow, Uttar Pradesh.","SMT. RAJKUMARI","Rejection Letter Granted","EC",NA
"2433",6,"SIA/UP/INFRA2/453181/2023","8533","Residential Group Housing Project by M/s Mangalam Estates Private Limited  located at Khasra No. 220 (p), 221(p) at village Sarsawa, Tehsil-Sarojni Nagar, Lucknow , U.P","MANGALAM ESTATES PRIVATE LIMITED","EC Granted","EC",NA
"2434",7,"SIA/UP/MIN/409768/2022","7481","Building Stone or Granite Khanda, Boulder, Ballast (Gitty) Mining Project","NEETU SHIVAHARE","EC Granted","EC",NA
"2435",8,"SIA/UP/NCP/75292/2018","4328","Construction of Proposed Group Housing Project “SKA Metro Ville” at Plot No. GH-1B (3) Sector –ETA-II, Greater Noida, 
Distt : Gautam Budh Nagar  (U.P.)","KAMROOP INFRABUILD PVT LTD","EC Granted","EC",NA
"2436",9,"SIA/UP/INFRA2/421112/2023","7691","Revision & Modification of IT/ITES Office building  Project “Signature Park” at Plot No.: INS-02, Chi-V, Yamuna Expressway, Greater Noida, U.P. by M/s R.S. Resource Management Consulting Pvt. Ltd.","R.S. RESOURCE MANAGEMENT CONSULTING PRIVATE LIMITED","EC Granted","EC",NA
"2437",5,"SIA/UP/MIN/188813/2020","6048","Building Stone (Khanda, Boulder, Bailast (Gitti))","M/S PREM ENTERPRISES","EC Granted","EC",NA
"2438",7,"SIA/UP/MIN/70635/2021","6812-6390","Building Stone (Khanda, Boulder, Bailast/Gitti) Mine","M/S SILVER MIST RETAIL PVT. LTD.","EC Granted","EC",NA
"2439",8,"SIA/UP/MIN/70813/2021","6851-6318","Building Stone (Khanda, Boulder, Bailast (Gitti))","OM PRAKASH KHATRI","EC Granted","EC",NA
"2440",9,"SIA/UP/MIN/64372/2021","6429","Proposed Building Stone [Khanda, Boulder, Ballast (Gitti)] mine at Araji No. /Plot No. – 712, Khand No.–05, Area 2.024 ha (5.00 Acres) at Village – Chhikahra, Tehsil- Sadar, District- Mahoba, Uttar Pradesh of M/s S.S. Infratech.","M/S  S.S. INFRATECH","EC Granted","EC",NA
"2441",1,"SIA/UP/MIN/72766/2018","","JAHAGIRPUR KHADER ORDINARY SAND/MORAM MINING","SHRIENVIROMENTALTECNOLOGYINSTITUTE","Delisted","EC",NA
"2442",2,"SIA/UP/MIN/94446/2019","4673","Shri Dinesh Chandra Agrawal from Gata No. 288, Khand No. 01 located at Village- Majhol, Tehsil- Mahoba, District- Mahoba, (U.P). 
Lease 1.214 ha (2.99 acre)","SHRI DINESH CHANDRA AGARWAL","EC Granted","EC",NA
"2443",3,"SIA/UP/INFRA2/404080/2022","7320-7087","City Side Development Project","ADANI AIRPORT HOLDINGS LIMITED","EC Granted","EC",NA
"2444",4,"SIA/UP/MIN/72484/2018","4031","Sand/Moram Mining","M/S MALLIKARJUN ASSOCIATE","EC Granted","EC",NA
