,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
640,SIA/WB/MIN/431888/2023,Gangarampur Sand Mine (MIN_DD_27),Non-Coal Mining,01 Jun 2023,01/06/2023,,,14/06/2023,,,19/06/2023,,18/08/2023
641,SIA/WB/MIN/238304/2021,"Kalinagar Sand Mine, Himanshu Santra",Non-Coal Mining,15 Nov 2021,15/11/2021,,,,,,,,
642,SIA/WB/MIN/260727/2022,Baranda [Plot No. 1(P); J.L. No.- 572] sand deposit on Silabati River,Non-Coal Mining,21 Jan 2023,09/03/2022,15/12/2022,21/01/2023,24/01/2023,,,24/01/2023,,
643,SIA/WB/IND3/403582/2022,"MANUFACTURING SPECIALITY CHEMICALS AND DISINFECTANT CHEMICALS IN EXISTING UNIT BY SALTS AND CHEMICALS PVT. LIMITED AT VILLAGE & PO - SUGANDHA, DIST. - HOOGHLY, WEST BENGAL",Industrial Projects - 3,21 Feb 2023,18/10/2022,24/11/2022,21/02/2023,06/03/2023,,,21/03/2023,,18/07/2023
644,SIA/WB/MIN/426379/2023,WB_APD_ANG_A_2,Non-Coal Mining,18 Apr 2023,18/04/2023,,,06/06/2023,,,12/06/2023,,18/08/2023
645,SIA/WB/NCP/66154/2017,Expansion of “JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL” – (A unit of Urmila Devi Jagannath Gupta Charitable Trust),INFRA-1,28 Jul 2017,28/07/2017,19/07/2017,28/07/2017,02/08/2017,,,07/09/2017,08/11/2017,
646,SIA/WB/NCP/61645/2017,Residential Building - Building and Construction Project,INFRA-1,19 Apr 2017,19/04/2017,09/03/2017,19/04/2017,26/04/2017,,,11/05/2017,,17/12/2020
647,SIA/WB/IND/4915/2015,,Industrial Projects - 1,06 Dec 2015,06/12/2015,,,,,,,,06/09/2016
648,SIA/WB/INFRA2/450982/2023,"Construction of Basement + Ground Floor + 10 Storied Building for State of the Art, Director General, GSI Office at Plot No. GN-40, Sector – V, Salt Lake, Kolkata",INFRA-2,01 Nov 2023,01/11/2023,,,10/11/2023,,,20/11/2023,,
649,SIA/WB/IND/1478/2014,Expansion in the existing LPG Import Export Terminal,Industrial Projects - 1,27 Aug 2015,27/08/2015,,,,,,,,
650,SIA/WB/NCP/75645/2018,Residential Building-Building & Construction Project,INFRA-1,16 Jul 2018,16/07/2018,09/07/2018,16/07/2018,26/07/2018,,,07/09/2018,11/12/2018,19/10/2022
651,SIA/WB/INFRA2/446647/2023,Residential Complex and Resort Complex,INFRA-2,05 Oct 2023,05/10/2023,,,16/10/2023,,,03/11/2023,,
652,SIA/WB/IND2/20755/2016,288-2N-24/2016(E),Industrial Projects - 2,20 Oct 2017,20/10/2017,,,01/11/2017,,,07/11/2017,04/12/2017,10/01/2018
653,SIA/WB/NCP/23033/2017,"Proposed Modification & Expansion of Residential Complex ""Siddha Eden Lakeville"" by the Refugee Relief & Rehabilitation Dept., Govt. of WB",INFRA-1,29 Mar 2018,29/03/2018,,,03/04/2018,,,18/04/2018,02/08/2018,
654,SIA/WB/MIN/439925/2023,Teshimla Sand Mine (MIN_JPG_5),Non-Coal Mining,09 Aug 2023,09/08/2023,,,05/09/2023,,,11/09/2023,,23/11/2023
655,SIA/WB/NCP/30734/2017,"Dong Fang Electric (India) Private Limited” at New Town, Rajarhat, Kolkata",INFRA-1,15 Jan 2019,15/01/2019,,,22/01/2019,,,,,
656,SIA/WB/MIN/201154/2021,Lohatikri Sand Block MSB-3 of M/s Ghosh Enterprise (Authorized Signatory - Tapas Ghosh).,Non-Coal Mining,04 Mar 2021,04/03/2021,,,29/04/2021,,,,,
657,SIA/WB/MIN/172750/2020,Sk Sajahan Propitor,Non-Coal Mining,08 Dec 2020,12/09/2020,09/10/2020,08/12/2020,23/12/2020,,,,,
658,SIA/WB/MIN/234270/2021,Chel River Bed Sand Mining,Non-Coal Mining,18 Oct 2021,18/10/2021,,,,,,,,
659,SIA/WB/MIN/261717/2022,"Mokarimpur [Plot No. 816(P), J.L. No.- 28] sand deposit on Kangshabati River.",Non-Coal Mining,29 Mar 2022,29/03/2022,25/04/2022,,,,,,,
660,SIA/WB/NCP/29734/2018,ALTIUS,INFRA-1,31 Oct 2018,31/10/2018,,,05/11/2018,,,19/11/2018,27/02/2019,17/04/2019
661,SIA/WB/IND2/25638/2015,"Proposed Storage Tank Terminal of Total Onsite Capacity of 18,496 kL at Budge Budge, District – 24 Parganas (S), West Bengal by M/s IMC Limited",Industrial Projects - 2,17 Apr 2018,17/04/2018,,,08/05/2018,,,17/05/2018,02/07/2018,03/10/2018
662,SIA/WB/INFRA2/416238/2023,Environmental Clearance for Proposed Expansion of Township and Area Development project “One-10”,INFRA-2,25 Apr 2023,30/01/2023,07/02/2023,25/04/2023,24/05/2023,,,29/05/2023,,29/08/2023
663,SIA/WB/MIN/435381/2023,Char Churabhandar  Sand Mine (MIN_JPG_16),Non-Coal Mining,01 Jul 2023,01/07/2023,,,13/07/2023,,,14/07/2023,,20/09/2023
664,SIA/WB/NCP/66067/2017,Residential Complex by Sunidhi Estates Pvt. Ltd.,INFRA-1,10 Jul 2017,10/07/2017,,,12/07/2017,,,17/07/2017,09/09/2017,13/01/2021
665,SIA/WB/MIS/183102/2020,Commercial Building for Trading (Business) and other Allied Purposes,INFRA-2,28 Nov 2020,11/11/2020,27/11/2020,28/11/2020,29/12/2020,,,21/01/2021,06/08/2021,03/06/2022
666,SIA/WB/MIN/184961/2020,"Bangpur Sand Mine, Shri Dinanath Chawdhery",Non-Coal Mining,09 Jul 2021,09/07/2021,22/07/2021,,,,,,,
667,SIA/WB/MIS/250876/2022,Residential Project,INFRA-2,25 Feb 2022,10/01/2022,11/02/2022,25/02/2022,09/03/2022,,,21/03/2022,,20/07/2022
668,SIA/WB/MIN/264046/2022,Fulbari sand mine,Non-Coal Mining,30 Mar 2022,30/03/2022,,,,,,,,
669,SIA/WB/MIN/263773/2022,1.38,Non-Coal Mining,16 May 2022,25/03/2022,25/04/2022,16/05/2022,,,,,,
670,SIA/WB/MIN/441881/2023,Mankyapal Sand Block M.BIN.B-34,Non-Coal Mining,28 Aug 2023,28/08/2023,12/10/2023,,,,,,,
671,SIA/WB/MIN/59217/2016,DHARGRAM STONE DEPOSIT,Non-Coal Mining,18 Oct 2016,18/10/2016,28/09/2016,18/10/2016,20/10/2016,,,03/11/2016,,04/04/2018
672,SIA/WB/NCP/65978/2017,"""LAKEWOOD ESTATE""",INFRA-1,27 Jul 2017,27/07/2017,12/07/2017,27/07/2017,02/08/2017,,,22/08/2017,04/12/2017,16/07/2018
673,SIA/WB/INFRA2/420798/2023,Residential Project,INFRA-2,07 Mar 2023,07/03/2023,,,15/03/2023,,,21/03/2023,,05/10/2023
674,SIA/WB/NCP/73381/2018,Residential Complex-Building & Construction Project,INFRA-1,17 Apr 2018,17/04/2018,20/03/2018,17/04/2018,20/04/2018,,,17/05/2018,,
675,SIA/WB/NCP/71424/2017,Expansion of Residential Complex by Broad Tie Up Pvt. Ltd. & Others,INFRA-1,02 Jan 2018,02/01/2018,06/12/2017,02/01/2018,05/01/2018,,,17/01/2018,17/03/2018,10/02/2021
676,SIA/WB/MIN/445589/2023,Narasinhapur Sand Mine,Non-Coal Mining,23 Sep 2023,23/09/2023,12/10/2023,,,,,,,
677,SIA/WB/NCP/42681/2016,"Expansion of Day Care and Oncology building and Alterations of Service Block and new Meditation Centre within the Apollo Gleneagles Hospital Ltd, Kolkata",INFRA-1,09 May 2016,09/05/2016,25/02/2016,09/05/2016,10/05/2016,,,31/05/2016,11/01/2017,04/10/2016
678,SIA/WB/NCP/74801/2018,Proposed Expansion of “SWARNAMANI” (Residential Complex),INFRA-1,14 May 2018,14/05/2018,14/05/2018,14/05/2018,14/05/2018,,,17/05/2018,,
679,SIA/WB/IND2/29250/2017,Setting up manufacturing unit of Synthetic Resin with total production capacity of 2050 Tonne/Annum and Paint with capacity 4.0 Lakh liter per Annum,Industrial Projects - 2,28 Sep 2018,28/09/2018,,,28/09/2018,,,04/10/2018,11/12/2018,03/06/2020
680,SIA/WB/MIN/417718/2023,River Bed Sand mining Bearing ID . MIN _BNK_55C on Dwarakeswar River,Non-Coal Mining,23 Feb 2023,10/02/2023,22/02/2023,23/02/2023,24/02/2023,,,04/03/2023,,
681,SIA/WB/MIN/215989/2021,"PUTULIA SAND MINE (AREA-3.80 HECTARES) ON AJAY RIVER ON Plot No.-1108 (P). LOCATED AT MOUZA- PUTULIA, P.S. - BARABANI, DISTRICT- PASCHIM BARDHAMAN, STATE- WEST BENGAL, JL NO. -13",Non-Coal Mining,24 Jun 2021,24/06/2021,,,31/07/2021,,,,,
682,SIA/WB/MIN/254529/2022,Nekmara Sand Mine,Non-Coal Mining,07 Mar 2022,07/03/2022,,,,,,,,
683,SIA/WB/MIN/229930/2021,Jamsole Sand Block MSB - 62,Non-Coal Mining,21 Sep 2021,21/09/2021,,,,,,,,
684,SIA/WB/MIN/180560/2020,Gopiballavpur - I Sand Block MGB - 124 of  Ezaharul Hossain,Non-Coal Mining,25 Oct 2020,25/10/2020,,,01/12/2020,,,10/03/2021,,
685,SIA/WB/MIN/180576/2020,Gopiballavpur - I Sand Block MGB - 125 of Sk. Karim.,Non-Coal Mining,26 Oct 2020,26/10/2020,,,01/12/2020,,,10/03/2021,,
686,SIA/WB/MIN/407017/2022,DURAMARIR CHHAT SAND & STONE MINE,Non-Coal Mining,18 Nov 2022,18/11/2022,28/12/2022,,,,,,,
687,SIA/WB/MIN/416022/2023,MIN_BNK_16_A Sand Mine,Non-Coal Mining,30 Jan 2023,30/01/2023,,,30/01/2023,,,03/02/2023,,10/03/2023
688,SIA/WB/MIN/452539/2023,Rangamati Sand Mine,Non-Coal Mining,21 Nov 2023,21/11/2023,,,01/12/2023,,,,,
689,SIA/WB/MIN/62746/2017,Saharjora Fire Clay Mine,Non-Coal Mining,20 Mar 2017,20/03/2017,09/03/2017,20/03/2017,05/04/2017,,,11/05/2017,,
690,SIA/WB/NCP/73461/2018,"HOUSING COMPLEX ""MPL HOUSING""",INFRA-1,12 Apr 2018,12/04/2018,12/04/2018,21/03/2018,20/04/2018,,,17/05/2018,,06/09/2019
691,SIA/WB/MIN/183978/2020,"MALYAN SAND MINE (AREA- 1.55 HECTARES) ON KANGSHABATI RIVER ON Plot No.-68(P) & 69(P) LOCATED AT MOUZA- MALYAN, P.S. - KESHPUR, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. 625",Non-Coal Mining,19 Nov 2020,19/11/2020,,,18/12/2020,,,13/04/2021,,
692,SIA/WB/MIN/263623/2022,HIJAL SAND MINE,Non-Coal Mining,25 Mar 2022,25/03/2022,12/12/2022,,,,,,,
693,SIA/WB/MIN/210858/2021,Desher Mohan Sand Mine,Non-Coal Mining,29 Apr 2021,29/04/2021,16/06/2021,,,,,,,
694,SIA/WB/MIN/264846/2022,"River Bed Sand Mining Project on Bansloi River at Mouza- Lakshminarayanpur, Plot No: 928(P), JL.No.-20, P.S-Murarai, Dist- Birbhum, State-West Bengal",Non-Coal Mining,30 Mar 2022,30/03/2022,,,24/02/2023,,,04/03/2023,,
695,SIA/WB/MIS/286034/2022,Housing Complex “The Khaki Estate”,INFRA-2,29 Jul 2022,29/07/2022,,,12/08/2022,,,18/08/2022,,27/09/2022
696,SIA/WB/MIN/252892/2022,"Kashimpur Brick Soil Mining Project, For M/s Kaka Brick Field & Co",Non-Coal Mining,24 Jan 2022,24/01/2022,21/02/2022,,,,,,,
697,SIA/WB/MIN/187340/2020,"Haibatpur Sand Mine on Damodar River, (Santilata Roy)",Non-Coal Mining,04 Feb 2021,04/02/2021,15/03/2021,,,,,,,
698,SIA/WB/MIN/264259/2022,SIMASIMI SAND MINE,Non-Coal Mining,23 Feb 2023,28/03/2022,10/02/2023,23/02/2023,24/02/2023,,,04/03/2023,,
699,SIA/WB/MIN/264776/2022,Mining of Riverbed Sand and Stone of PRAKASH THAPA,Non-Coal Mining,05 Dec 2022,31/03/2022,22/11/2022,05/12/2022,30/12/2022,,,02/01/2023,,
700,SIA/WB/IND2/433074/2023,"Proposed Onshore Exploratory drilling of 08 wells in Bengal Onshore OALP-IV Block BP-ONHP-2019/1 situated in East Medinipur and West Medinipur Districts of West Bengal By M/s. ONGC Limited, MBA Basin",Industrial Projects - 2,17 Aug 2023,21/06/2023,04/07/2023,17/08/2023,28/08/2023,,,31/08/2023,,
701,SIA/WB/MIN/67066/2017,Sand Mining,Non-Coal Mining,05 Oct 2017,05/10/2017,31/07/2017,05/10/2017,09/10/2017,,,22/11/2017,15/05/2018,16/08/2018
702,SIA/WB/NCP/58218/2016,Residential Building-Building and Construction Project,INFRA-1,12 Sep 2016,12/09/2016,11/08/2016,12/09/2016,15/09/2016,,,23/09/2016,16/01/2017,
703,SIA/WB/NCP/66827/2017,GARMENT INDUSTRIAL PARK ,INFRA-1,01 Nov 2017,01/11/2017,25/07/2017,01/11/2017,07/11/2017,,,22/11/2017,,
704,SIA/WB/MIN/438868/2023,Nimai Sand Mine (MIN_DJ_7),Non-Coal Mining,01 Aug 2023,01/08/2023,,,08/08/2023,,,18/08/2023,,
705,SIA/WB/NCP/20117/2017,Ideal Greens,INFRA-1,17 Aug 2017,17/08/2017,,,01/09/2017,,,07/09/2017,08/11/2017,
706,SIA/WB/NCP/65094/2017,Residential Complex - Building and Construction Project ,INFRA-1,11 Jul 2017,11/07/2017,02/06/2017,11/07/2017,12/07/2017,,,07/08/2017,04/12/2017,05/09/2018
707,SIA/WB/IND/30014/2018,"Proposed Expansion in Cement Production Capacity from 2.0 MTPA to 2.5 MTPA of the Existing Stand-alone Grinding Unit at Panagarh Industrial Park of WBIDC, Block: Aushgram-II, District: Purba Burdwan (",Industrial Projects - 1,29 Nov 2018,29/11/2018,,,10/12/2018,,,05/03/2019,13/03/2019,17/06/2019
708,SIA/WB/MIN/439314/2023,Purbo Pashunath Sand Mine (MIN_DJ_19),Non-Coal Mining,05 Aug 2023,05/08/2023,,,04/09/2023,,,11/09/2023,,
709,SIA/WB/MIS/41038/2016,Ideal Unique Residency,INFRA-2,02 Feb 2016,02/02/2016,01/02/2016,02/02/2016,04/02/2016,,,25/02/2016,,
710,SIA/WB/NCP/60306/2016,Residential Complex by Muskan Highrise Pvt. Ltd.,INFRA-1,23 Nov 2016,23/11/2016,17/11/2016,23/11/2016,25/11/2016,,,20/03/2017,,03/06/2020
711,SIA/WB/IND1/430933/2023,"Expansion of Dual Re-Rolling MillPlant located at Plot No. 2966, 2968& 2973,Mouza-Mondalpur,  J.L No. 37, Ward No. 06 atJamuria Industrial State, Local P.S. Jamuria,P.O.-Mondalpur, District-Paschim Bardhaman, State- West Bengal by  M/s Great Eastern InfraconPvt. Ltd.",Industrial Projects - 1,26 May 2023,26/05/2023,13/06/2023,,,,,,,
712,SIA/WB/INFRA2/406141/2022,"Expansion of Existing Common Bio-Medical Waste Treatment Facility at Plot no. K-26, Phase-III, Kalyani Industrial Growth Centre, Kalyani P.S. & P.O., Nadia District, West Bengal",INFRA-2,10 May 2023,16/11/2022,09/12/2022,10/05/2023,30/05/2023,,,30/06/2023,,
713,SIA/WB/NCP/64249/2017,Residential Building - Building and Construction Project,INFRA-1,30 May 2017,30/05/2017,15/05/2017,30/05/2017,07/06/2017,,,07/08/2017,17/03/2018,
714,SIA/WB/INFRA2/450816/2023,Residential cum Commercial Complex by M/s. Almits Developers LLP,INFRA-2,02 Nov 2023,02/11/2023,10/11/2023,,,,,,,
715,SIA/WB/NCP/62794/2017,Residential Complex by Prudent Infrarealty Pvt. Ltd. & Others,INFRA-1,20 Mar 2017,20/03/2017,09/03/2017,20/03/2017,27/03/2017,,,11/05/2017,,
716,SIA/WB/INFRA2/421576/2023,AMETHYST,INFRA-2,10 Mar 2023,10/03/2023,28/04/2023,,,,,,,
717,SIA/WB/MIN/59466/2016,Mondala Bhatina Clay mines,Non-Coal Mining,05 Oct 2016,05/10/2016,18/10/2016,,,,,,,
718,SIA/WB/INFRA2/406407/2022,Commercial cum Residential Building Complex by Indian Church Trustees,INFRA-2,22 Dec 2022,14/11/2022,21/11/2022,22/12/2022,23/12/2022,,,27/12/2022,,05/04/2023
719,SIA/WB/INFRA2/436577/2023,Mercantile Building (Shopping Complex) by Hastera Credit Pvt. Ltd.,INFRA-2,13 Jul 2023,13/07/2023,21/07/2023,,,,,,,
