"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"1478",157,"SIA/OR/IND2/28984/2018","Production of 3.24 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Lahunipada Main Out Still Shop, at  Lahunipada, Dist: Sundergarh","Industrial Projects - 2","19 Sep 2018","19/09/2018","","","05/10/2018","","","25/10/2018","08/11/2018","16/11/2018","EC Granted"
"1479",158,"SIA/OR/MIN/407364/2022","Sorisamulu Sand Bed over an area of 11.00 acres or 4.452 hectares bearing Khata no. 283, Plot no. 973 in village Sorisamulu, Tahasil Jagannathprasad, District Ganjam, State Odisha.   ","Non-Coal Mining","29 Dec 2022","21/11/2022","17/12/2022","29/12/2022","30/01/2023","","","10/02/2023","","07/11/2023","EC Granted"
"1480",159,"SIA/OR/MIN/50955/2016","Laxmipur Sand Quarry over an area of 5.244 ha in village Laxmipur, Tahasil- Dharakote in Ganjam district of Odisha","Non-Coal Mining","03 Mar 2016","03/03/2016","","","03/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1481",160,"SIA/OR/MIN/68739/2017","PADIABHANGA SAND QUARRY","Non-Coal Mining","12 Sep 2017","12/09/2017","","","13/09/2017","","","27/10/2017","","","Rejection Letter Granted"
"1482",161,"SIA/OR/MIN/406018/2022","Jakar Stone Quarry","Non-Coal Mining","11 Nov 2022","11/11/2022","","","21/11/2022","","","07/12/2022","","18/09/2023","EC Granted"
"1483",162,"SIA/OR/MIN/422257/2023","Baitarani River Sand Bed over an area of 8.62 Ha in Village Jambhara, tahasil Hatadihi, Keonjhar district of Odisha","Non-Coal Mining","15 Mar 2023","15/03/2023","","","28/03/2023","","","15/04/2023","","18/08/2023","EC Granted"
"1484",163,"SIA/OR/IND2/28819/2018","Production of 1.080 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Binapur at Binapur, Tehsil: Boden, District: Nuapada","Industrial Projects - 2","05 Sep 2018","05/09/2018","","","05/10/2018","","","25/10/2018","11/12/2018","14/12/2018","EC Granted"
"1485",164,"SIA/OR/MIN/425823/2023","Ankorada Stone Quarry over an area of 12.00 acres or 4.8564 hectares bearing Khata no.157, Plot no.59 in village Ankorada under Tahasil- Digapahandi, District- Ganjam, State Odisha submitted under cluster approach with total cluster area 11.2627 Hectares with consisting of 2 stone quarries.","Non-Coal Mining","12 Apr 2023","12/04/2023","22/04/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"1486",165,"SIA/OR/IND2/21748/2018","Production 1.35 KLD Mahua Flower Based Country Liquor Manufacturing Unit ,Main Out Still Liquor Shop Gudari, at Gudari, Tahasil- Gudari, Dist-Rayagada","Industrial Projects - 2","24 Jan 2018","24/01/2018","","","25/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1487",166,"SIA/OR/MIN/406595/2022","Gundurapasi Laterite Stone Quarry No- II","Non-Coal Mining","02 Mar 2023","15/11/2022","01/02/2023","02/03/2023","09/04/2023","","10/01/2023","20/05/2023","","13/07/2023","EC Granted"
"1488",167,"SIA/OR/IND2/21814/2018","Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sibtala Main Out Still Shop at Sibtala, Tehsil- Tusara,  Dist- Balangir","Industrial Projects - 2","31 Jan 2018","31/01/2018","","","31/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1489",168,"SIA/OR/MIN/85127/2018","Padiabhanga Sand Quarry over an area of 12.50 acres at village-Padiabhanga,Tahasil-Khandapada, Dist-Nayagarh","Non-Coal Mining","11 Nov 2018","11/11/2018","","","17/11/2018","","","29/11/2018","29/11/2018","25/07/2019","EC Granted"
"1490",169,"SIA/OR/IND2/21804/2018","Binika O.S. shop","Industrial Projects - 2","07 Feb 2018","07/02/2018","","","08/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1491",170,"SIA/OR/MIN/42246/2016","DIAJODI STONE QUARRY NO-I","Non-Coal Mining","25 Jan 2016","25/01/2016","","","30/01/2016","","","","","","Delisted"
"1492",171,"SIA/OR/IND2/22400/2018","690 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PANGIDI OS SHOP","Industrial Projects - 2","21 Mar 2018","21/03/2018","","","26/03/2018","","","07/05/2018","10/05/2018","30/06/2018","EC Granted"
"1493",172,"SIA/OR/MIN/38986/2016","MANPUR SAND QUARRY","Non-Coal Mining","08 Jan 2016","08/01/2016","","","13/01/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1494",173,"SIA/OR/MIN/53794/2016","Kharjhura Sand Quarry","Non-Coal Mining","16 May 2016","16/05/2016","","","17/05/2016","","","02/12/2016","28/12/2016","24/01/2017","EC Granted"
"1495",174,"SIA/OR/IND2/22255/2018","JABAGHAT O.S. SHOP","Industrial Projects - 2","06 Mar 2018","06/03/2018","","","08/03/2018","","","13/04/2018","24/04/2018","24/05/2018","EC Granted"
"1496",175,"SIA/OR/MIN/75511/2018","Pehelaju Sand Quarry A","Non-Coal Mining","21 Jun 2018","21/06/2018","","","22/06/2018","","","27/07/2018","31/07/2018","18/08/2018","EC Granted"
"1497",176,"SIA/OR/IND2/22591/2018","Ambapali O.S. Shop","Industrial Projects - 2","23 Mar 2018","23/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"1498",177,"SIA/OR/MIN/419424/2023","Baitarini River Sand Bed over an area of 5.26 ha. in village Dimiria, Tahasil Hatadih in Keonjhar district of Sri Chinmay Kumar Nayak for the sand production of 11137 CUM/Annum","Non-Coal Mining","23 Feb 2023","23/02/2023","","","03/03/2023","","","21/03/2023","","14/08/2023","EC Granted"
"1499",178,"SIA/OR/MIN/244103/2021","MAHISAPATA STONE QUARRY OVER AN AREA OF 0.98 ACRES OR 0.396 HECTARES IN VILLAGE MAHISAPATA  UNDER NILGIRI TAHASIL OF BALASORE DISTRICT ODISHA.","Non-Coal Mining","09 Dec 2021","09/12/2021","","","17/12/2021","","","01/02/2022","06/02/2022","18/02/2022","EC Granted"
"1500",179,"SIA/OR/MIN/250717/2022","Badakumundu  Sand Quarry over an area of 7.10 acres or 2.873 hectares in village Badakumundu of Telkoi Tahasil ,Keonjhar district, Odisha","Non-Coal Mining","13 Jan 2022","13/01/2022","","","27/01/2022","","","22/02/2022","05/03/2022","31/03/2022","EC Granted"
"1501",180,"SIA/OR/MIN/249098/2021","Pallur Hill Stone Quarry over an area of 0.50 Acers or 0.202 Ha having Khata No. 42 Plot No. 69/A in the village Pallur Hill, Tahasil Konisi in District Ganjam, State Odisha.","Non-Coal Mining","31 Dec 2021","31/12/2021","","","15/01/2022","","","03/02/2022","15/02/2022","08/03/2022","EC Granted"
"1502",181,"SIA/OR/MIN/50688/2016","Jagadalpur Sand Quarry Over lease area of 14.55 acres/5.888 ha located at Village- Jagadalpur, Tahasil- Jharbandh, District- Bargarh","Non-Coal Mining","08 Mar 2016","08/03/2016","03/03/2016","08/03/2016","10/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1503",182,"SIA/OR/MIN/60440/2016","Gamundi Jampalli River Sand Bed Over an area of 9.261 Ha under Ghumusur(Bhanjanagar) Tahasil of Ganjam District Odisha","Non-Coal Mining","15 Nov 2016","15/11/2016","","","17/11/2016","","","07/01/2017","07/01/2017","30/01/2017","EC Granted"
"1504",183,"SIA/OR/MIN/41182/2016","LIMA STONE QUARRY","Non-Coal Mining","16 Jan 2016","16/01/2016","","","27/01/2016","","","","","","Delisted"
"1505",184,"SIA/OR/IND2/25027/2018","Burla O.S. Shop","Industrial Projects - 2","20 Apr 2018","20/04/2018","","","20/04/2018","","","05/06/2018","08/08/2018","31/08/2018","EC Granted"
"1506",185,"SIA/OR/MIN/403495/2022","Kathabharia Sand Bed Over an area of 12.04 Acres or 4.872 Hectares in Village Kathabharia under Kusumi,Badampahar Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","21 Nov 2022","18/10/2022","17/12/2022","21/11/2022","","","","","","","Query raised by SEIAA and pending at PP"
"1507",186,"SIA/OR/MIN/49885/2016","Bajrokote Sand Bed Over lease area of 12.50 acres located at Village- Bajrokote, Tahasil- Ganjam, District- Ganjam","Non-Coal Mining","08 Apr 2016","08/04/2016","02/03/2016","08/04/2016","08/04/2016","","","","","13/06/2016","EC Granted - Processed offline"
"1508",187,"SIA/OR/IND2/29136/2018","Production of 1.89 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Swarupvilla Main Out Still Shop at Swarupvilla Village, Tehsil-Baripada, Dist –Mayurbhanj, Odisha","Industrial Projects - 2","22 Sep 2018","22/09/2018","","","11/10/2018","","","25/10/2018","01/11/2018","15/11/2018","EC Granted"
"1509",188,"SIA/OR/MIN/41054/2016","NAGAJHAR STONE QUARRY","Non-Coal Mining","15 Jan 2016","15/01/2016","","","27/01/2016","","","","","","Delisted"
"1510",189,"SIA/OR/IND2/72544/2018","MENDA O.S. SHOP","Industrial Projects - 2","29 Jan 2018","29/01/2018","29/01/2018","","","","","","","","Delisted"
"1511",190,"SIA/OR/MIN/21426/2017","Mandirpada Sand Quarry","Non-Coal Mining","01 Feb 2018","01/02/2018","","","01/02/2018","","","13/03/2018","23/03/2018","11/04/2018","EC Granted"
"1512",191,"SIA/OR/MIN/248981/2021","Arshala Sand Bed over an area of 10.25 Acre or 4.148 Hectares in village Arshala under Jhumpura Tahasil of Keonjhar District of Odisha.","Non-Coal Mining","31 Dec 2021","31/12/2021","","","15/01/2022","","","03/02/2022","15/02/2022","11/03/2022","EC Granted"
"1513",192,"SIA/OR/MIN/61816/2017","TENTLA-KADAMDIHA SAND BED","Non-Coal Mining","17 Jan 2017","17/01/2017","18/01/2017","","","","","","","","Delisted"
"1514",193,"SIA/OR/MIN/406336/2022","Rengalbeda Stone Quarry Over an area of 1.1 Acre or 0.445 Hectares in village Rengalbeda under Tiring Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","04 Dec 2022","04/12/2022","05/01/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"1515",194,"SIA/OR/IND2/29038/2018","Production of 2.16 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Chitrada Main Out Still Shop at Purunapani Village, Tehsil- Muruda , Dist –Mayurbhanj, Odisha","Industrial Projects - 2","22 Sep 2018","22/09/2018","","","11/10/2018","","","25/10/2018","29/11/2018","14/12/2018","EC Granted"
"1516",195,"SIA/OR/NCP/38208/2016","Expansion of AMRI Hospital from 313 Beds to 400 Beds ","INFRA-1","05 Jan 2016","05/01/2016","","","10/01/2016","","","","","20/03/2017","EC Granted - Processed offline"
"1517",196,"SIA/OR/MIN/419224/2023","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR ANJIRA BLACK STONE QUARRY NO 14 OVER AN AREA OF 2.023 HECTARE OR 5.00 ACRESE IN VILLAGE ANJIRA UNDER DHARMASALA TAHASIL AND JAJPUR DISTRICT","Non-Coal Mining","24 Feb 2023","24/02/2023","","","08/04/2023","","","19/04/2023","","17/05/2023","EC Granted"
"1518",197,"SIA/OR/IND2/23262/2018","PRODUCTION OF 1.620 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, TAPARNA MAIN O S LIQUOR SHOP AT TAPARNA, DIST. - BOUDH","Industrial Projects - 2","31 Mar 2018","31/03/2018","","","07/04/2018","","","13/06/2018","01/11/2018","16/11/2018","EC Granted"
"1519",198,"SIA/OR/INFRA2/428068/2023","Proposed Construction of Residential Building (EB+S+14) & Commercial Complex (B+G+4) Building of M/s Creative Estcon Pvt. Ltd.","INFRA-2","12 May 2023","05/05/2023","12/05/2023","12/05/2023","15/05/2023","","","31/05/2023","","","Delisted"
"1520",199,"SIA/OR/MIN/406856/2022","Kerandi sand Bed Mining","Non-Coal Mining","31 Jan 2023","17/11/2022","17/12/2022","31/01/2023","11/02/2023","","","22/02/2023","","","Deferred by SEAC"
"1521",200,"SIA/OR/IND2/22314/2018","Sason O.S. Shop","Industrial Projects - 2","10 Mar 2018","10/03/2018","","","13/03/2018","","","13/04/2018","24/04/2018","28/05/2018","EC Granted"
"1522",201,"SIA/OR/MIN/423782/2023","Karlichuan Decorative Stone Mine over an area of 16.62 acres or 6.726 Ha located in Village Karlichuan, Tahasil Tentulikhunti, District Nabarangpur, Odisha.","Non-Coal Mining","29 Mar 2023","29/03/2023","","","10/04/2023","","","15/04/2023","","15/05/2023","EC Granted"
"1523",202,"SIA/OR/IND2/28968/2018","PRODUCTION OF 0.81 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, MALIKUD MAIN O S LIQUOR SHOP AT- MALIKUD, DIST. - BOUDH","Industrial Projects - 2","22 Sep 2018","22/09/2018","","","05/11/2018","","","06/11/2018","08/11/2018","17/11/2018","EC Granted"
"1524",203,"SIA/OR/IND2/26006/2018","Kadobahal OS shop","Industrial Projects - 2","06 May 2018","06/05/2018","","","07/05/2018","","","13/06/2018","03/07/2018","26/07/2018","EC Granted"
"1525",204,"SIA/OR/IND/29913/2017","Jajpur Cements Private Limited","Industrial Projects - 1","24 Nov 2018","24/11/2018","","","","","","","","21/05/2019","EC Granted"
"1526",204,"SIA/OR/IND/29913/2017","Jajpur Cements Private Limited","Industrial Projects - 1","24 Nov 2018","24/11/2018","","","","","","","","21/05/2019","EC Granted"
"1527",205,"SIA/OR/MIN/404480/2022","Diajodi Stone Quarry-III over an area of 1.64 acres or 0.6639 hectares in village Diajodi under Karanjia Tahasil in Mayurbhanj District, Odisha.","Non-Coal Mining","28 Oct 2022","28/10/2022","","","14/11/2022","","","30/11/2022","","","Delisted"
"1528",206,"SIA/OR/IND2/26147/2018","HINDOL TOWN OUT STILL LIQUOR MAIN SHOP","Industrial Projects - 2","19 May 2018","19/05/2018","","","21/05/2018","","","13/06/2018","08/08/2018","31/08/2018","EC Granted"
"1529",207,"SIA/OR/MIN/48575/2016","BALIPAL SAND BED","Non-Coal Mining","09 Feb 2016","09/02/2016","","","29/02/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1530",208,"SIA/OR/MIN/284264/2022","Proposal for EC of AREDA SAND QUARRY over an area 12.20acres or 4.937hectares in village Areda under Khariar tahasil of Nuapada district Odisha","Non-Coal Mining","19 Jul 2022","19/07/2022","","","29/07/2022","","","17/08/2022","","05/11/2022","EC Granted"
"1531",209,"SIA/OR/MIN/81116/2021","BALIGORAD SAND MINE OVER AN EXTENT AREA OF 5.435 HA, RAMIAL RIVER, AT BALIGORAD VILLAGE, KAMAKHYANAGAR TAHASIL, DHENKANAL DISTRICT, ODISHA STATE","Non-Coal Mining","09 Aug 2022","09/08/2022","","","23/08/2022","","","29/08/2022","","03/12/2022","EC Granted"
"1532",210,"SIA/OR/MIN/284637/2022","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR ANJIRA BLACK STONE QUARRY BSQ 5 OVER AN AREA OF 2.428 HECTARE OR 6.00 ACRESE IN VILLAGE ANJIRA UNDER DHRMASALA TAHASIL AND DISTRICT OF JAJPUR ODISHA","Non-Coal Mining","23 Aug 2022","22/07/2022","22/08/2022","08/08/2022","","","","","","","Delisted"
"1533",211,"SIA/OR/MIN/248667/2021","K-SAMSINGHA SAND BED, OVER AN AREA 4.856 Ha. KHATA NO: 490(AAA), PLOT NO: 1650(P), AT: K-SAMSINGHA, TAHASIL: KOLABIRA, DIST: JHARSUGUDA, ODISHA.","Non-Coal Mining","31 Dec 2021","31/12/2021","15/01/2022","","","","","","","","Delisted"
"1534",212,"SIA/OR/MIN/243972/2021","NEW PROPOSAL FOR GRANT OF EC OF UPPALADA STONE QUARRY-V OVER AN AREA OF 11.094 ACRES OR 4.490 HECTARES BEARING KHATA NO.376,PLOT NO.1723/2 IN VILLAGE UPPALADA, TAHASIL-PARLAKHEMUNDI,DISTRICT-GAJAPATI,ODISHA, APPLICANT-SRI R.RAGHUPATI RAO","Non-Coal Mining","10 Jan 2022","09/12/2021","13/12/2021","10/01/2022","27/01/2022","","","22/02/2022","05/03/2022","31/03/2022","EC Granted"
"1535",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1536",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"1537",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"1538",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1539",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1540",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1541",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1542",213,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 6","Non-Coal Mining","14 Aug 2022","05/07/2022","","","","","","","","17/01/2023","EC Granted"
"1543",214,"SIA/OR/IND2/28061/2018","Lastala O.S. Shop","Industrial Projects - 2","06 Jul 2018","06/07/2018","","","07/07/2018","","","27/07/2018","08/08/2018","30/08/2018","EC Granted"
"1544",215,"SIA/OR/IND2/20314/2017","825 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MOHANA OS SHOP","Industrial Projects - 2","25 Oct 2017","25/10/2017","","","25/10/2017","","","27/11/2017","11/01/2018","20/04/2018","EC Granted"
"1545",216,"SIA/OR/MIN/41963/2016","NIJAGARH TAPANGA HATIA (UNA BLOCK) CONSTRUCTION STONE QUARRY","Non-Coal Mining","21 Jan 2016","21/01/2016","","","29/01/2016","","","","","","Delisted"
"1546",217,"SIA/OR/MIN/50495/2016","Brahmani River Sand Gangadharpur Quarry over 5.058 Ha in Aul Tahasil of Kendrapara District Odisha.","Non-Coal Mining","07 Mar 2016","07/03/2016","02/03/2016","07/03/2016","10/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1547",218,"SIA/OR/MIN/405647/2022","Kotadwara Sand Ghat over an area of 50.0 acres (20.235ha.) is located in mouza - Patugadadharpur, Tahasil – Banki, in district Cuttack of Odisha.","Non-Coal Mining","07 Nov 2022","07/11/2022","21/11/2022","","","","","","","","WithdrawEC"
"1548",219,"SIA/OR/IND2/21929/2018","Production of 2.70 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Odiamunda Main Out Still Shop at Odiamunda, Tehsil- M.Rampur, Dist-Kalahandi","Industrial Projects - 2","08 Feb 2018","08/02/2018","","","08/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1549",220,"SIA/OR/IND2/22151/2018","Production of 0.630 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Kansdol Main Out Still Shop at Kansdol, Tahasil- Barpalli, Dist- Bargarh","Industrial Projects - 2","21 Feb 2018","21/02/2018","","","22/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1550",221,"SIA/OR/MIN/48053/2016","BAJRAKOTE STONE QUARRY","Non-Coal Mining","05 Feb 2016","05/02/2016","24/02/2016","","","","","","","","Delisted"
"1551",222,"SIA/OR/MIN/50513/2016","MOHANPUR STONE QUARRY","Non-Coal Mining","25 Feb 2016","25/02/2016","02/03/2016","","","","","","","","Delisted"
"1552",223,"SIA/OR/MIN/71840/2017","HALDI SAND QUARRY","Non-Coal Mining","09 Jan 2018","09/01/2018","01/01/2018","09/01/2018","09/01/2018","","","13/02/2018","20/02/2018","27/02/2018","EC Granted"
"1553",224,"SIA/OR/MIN/41207/2016","BADAPINDAPADAR STONE QUARRY","Non-Coal Mining","16 Jan 2016","16/01/2016","","","27/01/2016","","","","","","Delisted"
"1554",225,"SIA/OR/IND2/21812/2018","Production of 4.86 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Patnagarh NAC Main Out Still Shop at Patnagarh NAC, Tehsil- Patnagarh,  Dist- Balangir","Industrial Projects - 2","31 Jan 2018","31/01/2018","","","31/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1555",226,"SIA/OR/IND2/26026/2018","Sargiguda O.S. Shop","Industrial Projects - 2","08 May 2018","08/05/2018","","","10/05/2018","","","13/06/2018","08/08/2018","30/08/2018","EC Granted"
"1556",227,"SIA/OR/MIN/41485/2016","Birmal Stone Quarry Over lease area of 0.30 acres/0.121 ha located at Village- Birmal, Tahasil- Bargarh, District- Bargarh","Non-Coal Mining","18 Jan 2016","18/01/2016","","","27/01/2016","","","","","","Delisted"
"1557",228,"SIA/OR/MIN/414527/2023","Proposal for Fresh Environmental Clearance of Uchhabapalli Stone Quarry-6 over an area of 7.50 Acres or 3.035 Hectares in village Uchhabapalli under Loisingha tahasil of Balangir district.","Non-Coal Mining","13 Jan 2023","13/01/2023","18/01/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"1558",229,"SIA/OR/MIN/63251/2017","BANKIA QUARTZ & GEMSTONE DEPOSIT","Non-Coal Mining","18 Mar 2017","18/03/2017","18/03/2017","","","","","","","","Delisted"
"1559",230,"SIA/OR/MIN/417331/2023","Proposal for Environment Clearance of Raihari  Stone Quarry over an area of 2.89 acres or 1.169 hectares in village Raihari under Bijatala Tahasil in Mayurbhanj District, Odisha.","Non-Coal Mining","07 Feb 2023","07/02/2023","09/02/2023","","","","","","","","Query raised by SEIAA and pending at PP"
"1560",231,"SIA/OR/MIN/404468/2022","Chilgaon Sand Bed","Non-Coal Mining","28 Oct 2022","28/10/2022","","","14/11/2022","","","30/11/2022","","","Delisted"
"1561",232,"SIA/OR/MIN/48695/2016","Gangajhola Road Metal Quarry Over lease area of 8.00 acres or 3.237 ha located at Village- Gangajhola, Tahasil- Ghumsur(Bhanjanagar), District- Ganjam","Non-Coal Mining","10 Feb 2016","10/02/2016","","","29/02/2016","","","","","","Delisted"
"1562",233,"SIA/OR/IND2/21651/2018","Production of 2.430 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Chudapali Main Out Still Shop at Chudapali, Tahasil- Balangir, Dist- Balangir","Industrial Projects - 2","24 Jan 2018","24/01/2018","","","25/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1563",234,"SIA/OR/MIN/50812/2016","Raikala Stone Quarry Over lease area of 14.910 acres/6.034 ha located at Village- Raikala, Tahasil- Patna, District- Keonjhar","Non-Coal Mining","04 May 2016","04/05/2016","03/03/2016","04/05/2016","05/05/2016","","","07/12/2016","07/12/2016","30/12/2016","EC Granted"
"1564",235,"SIA/OR/MIN/422488/2023","Proposal for Fresh EC of Kathajodi River Sand, Kalapada over an area of 10.50 Acres, or 4.249 Hectares at village-Kalapada, Tahasil-Cuttack Sadar of Cuttack district, Odisha","Non-Coal Mining","17 Mar 2023","17/03/2023","","","13/04/2023","","","20/05/2023","","14/07/2023","EC Granted"
"1565",236,"SIA/OR/MIN/53083/2016","THELKOLOI SAND QUARRY-I","Non-Coal Mining","05 May 2016","05/05/2016","28/04/2016","05/05/2016","06/05/2016","","","25/03/2017","","21/09/2017","EC Granted - Processed offline"
"1566",237,"SIA/OR/IND2/26180/2018","1872 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED DEBABHUMI CHHACK MAIN OUT STILL SHOP","Industrial Projects - 2","24 May 2018","24/05/2018","","","24/05/2018","","","13/06/2018","03/07/2018","28/07/2018","EC Granted"
"1567",238,"SIA/OR/IND2/61634/2017","1000 LTR DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURING UNIT
MAIN OUT STILL LIQUOR SHOP BADAKUSHASTHALI ","Industrial Projects - 2","08 Jan 2017","08/01/2017","10/01/2017","","","","","","","","Delisted"
"1568",239,"SIA/OR/MIN/402663/2022","Subendangar Stone Quarry- II","Non-Coal Mining","11 May 2023","10/10/2022","13/04/2023","11/05/2023","03/07/2023","","","07/08/2023","","","Deferred by SEAC"
"1569",240,"SIA/OR/MIN/41241/2016","JANIGUDA STONE QUARRY","Non-Coal Mining","17 Jan 2016","17/01/2016","","","27/01/2016","","","","","","Delisted"
"1570",241,"SIA/OR/MIN/42783/2016","GODMUNDA STONE QUARRY","Non-Coal Mining","31 Jan 2016","31/01/2016","","","02/02/2016","","","","","","Delisted"
"1571",242,"SIA/OR/IND2/23818/2018","Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit , Hariharpur Main Out Still Shop at Hariharpur, Tehsil- Lanjigarh, PS- Lanjigarh, Dist-Kalahandi","Industrial Projects - 2","07 Apr 2018","07/04/2018","","","09/04/2018","","","07/05/2018","13/07/2018","27/07/2018","EC Granted"
"1572",243,"SIA/OR/MIN/424915/2023","Nilakanthapada Sand Quarry over an area of 54.20 acres or 21.934Ha bearing Khata No. 72, Plot No. 762(P) in Village Nilakanthapada, Tahasil Athmallik, District Angul, State Odisha.","Non-Coal Mining","02 Aug 2023","11/04/2023","22/04/2023","02/08/2023","08/08/2023","","","19/08/2023","","","ADS by SEAC"
"1573",244,"SIA/OR/MIN/76961/2018","SIDHUA R/S JARIPADA SAND QUARRY","Non-Coal Mining","05 Sep 2018","05/09/2018","05/09/2018","05/09/2018","","","","","","","Delisted"
"1574",245,"SIA/OR/IND2/22718/2018","Sarasbahal O.S. Shop","Industrial Projects - 2","28 Mar 2018","28/03/2018","","","31/03/2018","","","08/05/2018","13/07/2018","28/07/2018","EC Granted"
"1575",246,"SIA/OR/MIN/49890/2016","Suramani Sand Quarry","Non-Coal Mining","05 Mar 2016","05/03/2016","03/03/2016","05/03/2016","10/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1576",247,"SIA/OR/MIN/404022/2022","Khilamunda- II Stone Quarry over an area of 5.00 Acers or 2.023 Ha having Khata No. 16 Plot No. 114 in the village Khilamunda, Tahasil Padmapur in district Rayagada, State Odisha. on favour of Sri Gourinath Mahapatro","Non-Coal Mining","08 Feb 2023","21/10/2022","16/02/2023","08/02/2023","","","","","","","Query raised by SEIAA and pending at PP"
"1577",248,"SIA/OR/IND2/22397/2018","3777 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED CHATRAPUR OS SHOP","Industrial Projects - 2","17 Mar 2018","17/03/2018","","","20/03/2018","","","07/05/2018","10/05/2018","30/06/2018","EC Granted"
"1578",249,"SIA/OR/MIN/53081/2016","GUMAKARAMA SAND QUARRY","Non-Coal Mining","05 May 2016","05/05/2016","28/04/2016","05/05/2016","06/05/2016","","","23/09/2017","26/09/2017","23/10/2017","EC Granted"
"1579",250,"SIA/OR/MIN/424901/2023","PROPOSAL FOR ENVIRONMENT CEARANCE OF TURKANIGUDA SAND BED OVER AN AREA OF 5.058 HA / 12.50 ACRE LOCATED AT VILLAGE- TURKANIGUDA, TAHASIL- GUNUPUR, DISTRICT - RAYAGADA","Non-Coal Mining","05 Apr 2023","05/04/2023","","","15/04/2023","","","20/04/2023","","","Deferred by SEIAA"
