"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1283","SIA/OR/IND2/21823/2018","21823/157-IND2/02-2018","Gourkela O.S. Shop with a branch at Uffula","SARJAN SAHU","EC Granted","EC",NA
"1284","SIA/OR/IND2/23835/2018","23835/365-IND2/04-2018","Production of 4.320 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Umerkote Main Out Still Shop at Ward No-6, Umerkote Municipality, Tehsil- Umerkote, Dist- Nabarangpur","MS SHIW PRASAD SAHU AND SONS","EC Granted","EC",NA
"1285","SIA/OR/MIN/57086/2016","57086/1671-NCM/07-2016","Dankarisahi Sand Quarry Over lease area of 12.90 acres located at Village- Dankarisahi, Tahasil- Gania, District- Nayagarh","DINABANDHU ACHARYA","EC Granted - Processed offline","EC",NA
"1286","SIA/OR/MIN/404032/2022","","Legada Sand Quarry","TAHASILDAR KARLAMUNDA","Pending at PP due to eds","EC",NA
"1287","SIA/OR/IND2/29206/2018","29206/561-IND2/09-2018","Mahua flower based Country Liquor manufacturing unit with Licensed Deck capacity of 3.780 KLD Consisting of 2 X 1.890 KL capacity Stills of Kuarmunda OS Shop.","SANJAY KUMAR JAISWAL","EC Granted","EC",NA
"1288","SIA/OR/MIN/411244/2022","411244/847-MINB2/12-2022","NEW PROPOSAL FOR EC OF SANKHARI SOUTH(CHHA) NEW STONE QUARRY, 02/17-18, KAIPADAR OVER AN AREA 4.0465 HA OR 10.00 ACRES IN VILLAGE KAIPADAR UNDER TAHASIL AND DISTRICT KHORDHA ODISHA BY BISWA RANJAN KHATAI BEING THE POWER OF ATTORNEY HOLDER ON  BEHALF OF DEBASMITA SAMANTRAY","BISWA KHATAI","Delisted","EC",NA
"1289","SIA/OR/MIN/50656/2016","50656/1517-NCM/03-2016","Kharasrota River Sand Gobindpur to Juania Quarry in Aul Tahasil, Kendrapara, Odisha","BIBEKANANDA SAMAL","EC Granted - Processed offline","EC",NA
"1290","SIA/OR/MIN/403618/2022","403618/850-MINB2/01-2023","Proposal for Fresh EC of Bhereda Sand Bed over an area of 12.225 Acres or 4.947 Ha having Khata No.360, Plot No. 315 & 662/P in village Bhereda under Ghumusar(Bhanjanagar) Tahasil of Ganjam District, Odisha.","BAISHNAB NAYAK","EC Granted","EC",NA
"1291","SIA/OR/MIN/57550/2016","57550/1674-NCM/07-2016","RENGETIPALLI - B STONE QUARRY","DIBAKARA PANDI","EC Granted - Processed offline","EC",NA
"1292","SIA/OR/MIN/405360/2022","","Kotmara- I Stone Quarry","DANARDAN CHHURA","Pending at PP due to eds","EC",NA
"1293","SIA/OR/MIN/35457/2015","SEIAA/35457/955-NCM/12-2015","SUKHUAPATA STONE QUARRY NO. 1","LAXMIDHAR NAYAK","Delisted","EC",NA
"1294","SIA/OR/MIN/417367/2023","417367/797-MINB1/02-2023","Bentakarpada Sand Quarry (under cluster approach) is a sand mining project over an area of 25.00 acres/10.12Ha Located in village Bentakarpada, Tahasil- Barang in District Cuttack of Sri Subash Chandra Rout.","SUBASH CHANDRA ROUT","ADS by SEAC","EC",NA
"1295","SIA/OR/MIN/57555/2016","57555/1677-NCM/07-2016","BADA KHARAMANGA SAND(EAST) QUARRY","BADA KHARAMANGA SAND QUARRY","EC Granted - Processed offline","EC",NA
"1296","SIA/OR/MIN/411733/2023","","Raddu Sand Bed over an area of 10.00 acres or 4.046 hectares  bearing Khata no. 45, Plot no. 159 in Mouza Raddu, Tahasil Padmapur, District Rayagada, State Odisha","MEDI ERA LIFE SCIENCE","Pending at PP due to eds","EC",NA
"1297","SIA/OR/MIN/39256/2016","SEIAA/39256/1109-NCM/01-2016","KOTANISILA STONE QUARRY","BRUNDABAN SUNDARAY","Delisted","EC",NA
"1298","SIA/OR/MIN/414915/2023","414915/440-MINB2/01-2023","APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR BRAHMANI RIVER SAND QUARRY,KOTAPUR OVER AN AREA 2.68 ACRES OR 1.08 HA. IN VILLAGE KOTAPUR UNDER DHARMASALA TAHASIL OF JAJPUR DISTRICT, ODISHA","SUMANTA MOHANTY","Deferred by SEAC","EC",NA
"1299","SIA/OR/IND2/28984/2018","28984/529-IND2/09-2018","Production of 3.24 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Lahunipada Main Out Still Shop, at  Lahunipada, Dist: Sundergarh","KISHORE CHANDRA DASH","EC Granted","EC",NA
"1300","SIA/OR/MIN/407364/2022","407364/857-MINB2/12-2022","Sorisamulu Sand Bed over an area of 11.00 acres or 4.452 hectares bearing Khata no. 283, Plot no. 973 in village Sorisamulu, Tahasil Jagannathprasad, District Ganjam, State Odisha.","AJAYA KANHAR","Deferred by SEAC","EC",NA
"1301","SIA/OR/MIN/50955/2016","50955/1500-NCM/03-2016","Laxmipur Sand Quarry over an area of 5.244 ha in village Laxmipur, Tahasil- Dharakote in Ganjam district of Odisha","SAROJ KUMAR BISWAL","EC Granted - Processed offline","EC",NA
"1302","SIA/OR/MIN/68739/2017","68739/1906-NCM/08-2017","PADIABHANGA SAND QUARRY","MANORANJAN ROUTARA","Rejection Letter Granted","EC",NA
"1303","SIA/OR/MIN/406018/2022","406018/307-MINB1/11-2022","Jakar Stone Quarry","SHRI SARATHI SWAIN","ADS by SEAC","EC",NA
"1304","SIA/OR/MIN/422257/2023","422257/802-MINB1/32-2023","Baitarani River Sand Bed over an area of 8.62 Ha in Village Jambhara, tahasil Hatadihi, Keonjhar district of Odisha","GURUBRATA KHANDAI","ADS by SEAC","EC",NA
"1305","SIA/OR/IND2/28819/2018","28819/528-IND2/09-2018","Production of 1.080 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Binapur at Binapur, Tehsil: Boden, District: Nuapada","RAJESHKUMAR SAHU","EC Granted","EC",NA
"1306","SIA/OR/MIN/425823/2023","","Ankorada Stone Quarry over an area of 12.00 acres or 4.8564 hectares bearing Khata no.157, Plot no.59 in village Ankorada under Tahasil- Digapahandi, District- Ganjam, State Odisha submitted under cluster approach with total cluster area 11.2627 Hectares with consisting of 2 stone quarries.","MSP INFRACON PRIVATE LIMITED","Pending at PP due to eds","EC",NA
"1307","SIA/OR/IND2/21748/2018","21748/104-IND2/01-2018","Production 1.35 KLD Mahua Flower Based Country Liquor Manufacturing Unit ,Main Out Still Liquor Shop Gudari, at Gudari, Tahasil- Gudari, Dist-Rayagada","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1308","SIA/OR/MIN/406595/2022","406595/888-MINB2/03-2023","Gundurapasi Laterite Stone Quarry No- II","Public Works Department","Under examination of SEAC","EC",NA
"1309","SIA/OR/IND2/21814/2018","21814/125-IND2/01-2018","Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sibtala Main Out Still Shop at Sibtala, Tehsil- Tusara,  Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1310","SIA/OR/MIN/85127/2018","85127/2019-NCM/11-2018","Padiabhanga Sand Quarry over an area of 12.50 acres at village-Padiabhanga,Tahasil-Khandapada, Dist-Nayagarh","MANORANJAN RAUTARA","EC Granted","EC",NA
"1311","SIA/OR/IND2/21804/2018","21804/153-IND2/02-2018","Binika O.S. shop","PRASANT KUMAR SAHU","EC Granted","EC",NA
"1312","SIA/OR/MIN/42246/2016","42246/1270-NCM/01-2016","DIAJODI STONE QUARRY NO-I","SUDHAMAYEE DAS","Delisted","EC",NA
"1313","SIA/OR/IND2/22400/2018","22400/235-IND2/03-2018","690 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PANGIDI OS SHOP","SUSANTA KUMAR MAHAPATRA","EC Granted","EC",NA
"1314","SIA/OR/MIN/38986/2016","SEIAA/38986/1089-NCM/01-2016","MANPUR SAND QUARRY","SIMANCHAL NAYAK","EC Granted - Processed offline","EC",NA
"1315","SIA/OR/MIN/53794/2016","53794/1667-NCM/05-2016","Kharjhura Sand Quarry","RANJAN KUMAR MISHRA","EC Granted","EC",NA
"1316","SIA/OR/IND2/22255/2018","22255/190-IND2/03-2018","JABAGHAT O.S. SHOP","SRI NALINIKANTA MOHANTY","EC Granted","EC",NA
"1317","SIA/OR/MIN/75511/2018","75511/1994-NCM/06-2018","Pehelaju Sand Quarry A","SAROJ KUMAR MISHRA","EC Granted","EC",NA
"1318","SIA/OR/IND2/22591/2018","22591/250-IND2/03-2018","Ambapali O.S. Shop","SUNILKUMAR","EC Granted","EC",NA
"1319","SIA/OR/MIN/419424/2023","419424/801-MINB1/02-2023","Baitarini River Sand Bed over an area of 5.26 ha. in village Dimiria, Tahasil Hatadih in Keonjhar district of Sri Chinmay Kumar Nayak for the sand production of 11137 CUM/Annum","CHINMAY KUMAR NAYAK","ADS by SEAC","EC",NA
"1320","SIA/OR/MIN/244103/2021","244103/110-MINB2/12-2021","MAHISAPATA STONE QUARRY OVER AN AREA OF 0.98 ACRES OR 0.396 HECTARES IN VILLAGE MAHISAPATA  UNDER NILGIRI TAHASIL OF BALASORE DISTRICT ODISHA.","TAHASILDAR NILGIRI","EC Granted","EC",NA
"1321","SIA/OR/MIN/250717/2022","250717/525-MINB2/01-2022","Badakumundu  Sand Quarry over an area of 7.10 acres or 2.873 hectares in village Badakumundu of Telkoi Tahasil ,Keonjhar district, Odisha","TAHASILDAR, TELKOI TAHASIL","EC Granted","EC",NA
"1322","SIA/OR/MIN/249098/2021","249098/170-MINB2/12-2021","Pallur Hill Stone Quarry over an area of 0.50 Acers or 0.202 Ha having Khata No. 42 Plot No. 69/A in the village Pallur Hill, Tahasil Konisi in District Ganjam, State Odisha.","CH. BHARAT","EC Granted","EC",NA
"1323","SIA/OR/MIN/50688/2016","50688/1521-NCM/03-2016","Jagadalpur Sand Quarry Over lease area of 14.55 acres/5.888 ha located at Village- Jagadalpur, Tahasil- Jharbandh, District- Bargarh","NABIN PRADHAN","EC Granted - Processed offline","EC",NA
"1324","SIA/OR/MIN/60440/2016","60440/1740-NCM/11-2016","Gamundi Jampalli River Sand Bed Over an area of 9.261 Ha under Ghumusur(Bhanjanagar) Tahasil of Ganjam District Odisha","AJAYA KUMAR ALTIA","EC Granted","EC",NA
"1325","SIA/OR/MIN/41182/2016","41182/1167-NCM/01-2016","LIMA STONE QUARRY","MD ARIF PATEL","Delisted","EC",NA
"1326","SIA/OR/IND2/25027/2018","25027/382-IND2/04-2018","Burla O.S. Shop","MD. Q. ZAMAN & MD. MOOSA WARSI","EC Granted","EC",NA
"1327","SIA/OR/MIN/403495/2022","","Kathabharia Sand Bed Over an area of 12.04 Acres or 4.872 Hectares in Village Kathabharia under Kusumi,Badampahar Tahasil of Mayurbhanj District of Odisha.","TAHASILDARKUSUMIMAYURBHANJ","Pending at PP due to eds","EC",NA
"1328","SIA/OR/MIN/49885/2016","49885/1571-NCM/04-2016","Bajrokote Sand Bed Over lease area of 12.50 acres located at Village- Bajrokote, Tahasil- Ganjam, District- Ganjam","KRUPASINGHU MUDULI","EC Granted - Processed offline","EC",NA
"1329","SIA/OR/IND2/29136/2018","29136/548-IND2/09-2018","Production of 1.89 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Swarupvilla Main Out Still Shop at Swarupvilla Village, Tehsil-Baripada, Dist –Mayurbhanj, Odisha","NIROJ KUMAR GUPTA","EC Granted","EC",NA
"1330","SIA/OR/MIN/41054/2016","41054/1157-NCM/01-2016","NAGAJHAR STONE QUARRY","SURYAKANTA BEHERA","Delisted","EC",NA
"1331","SIA/OR/IND2/72544/2018","","MENDA O.S. SHOP","SARJAN SAHU","Delisted","EC",NA
"1332","SIA/OR/MIN/21426/2017","21426/1958-NCM/02-2018","Mandirpada Sand Quarry","KRISHNA KUMAR AGRAWAL","EC Granted","EC",NA
"1333","SIA/OR/MIN/248981/2021","248981/166-MINB2/12-2021","Arshala Sand Bed over an area of 10.25 Acre or 4.148 Hectares in village Arshala under Jhumpura Tahasil of Keonjhar District of Odisha.","BISWAJIT BADU","EC Granted","EC",NA
"1334","SIA/OR/MIN/61816/2017","","TENTLA-KADAMDIHA SAND BED","TAHSILDAR,BAHALDA,MAYURBHANJ","Delisted","EC",NA
"1335","SIA/OR/MIN/406336/2022","","Rengalbeda Stone Quarry Over an area of 1.1 Acre or 0.445 Hectares in village Rengalbeda under Tiring Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR,TIRING","Pending at PP due to eds","EC",NA
"1336","SIA/OR/IND2/29038/2018","29038/540-IND2/09-2018","Production of 2.16 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Chitrada Main Out Still Shop at Purunapani Village, Tehsil- Muruda , Dist –Mayurbhanj, Odisha","MANAS KUMAR MOHANTY","EC Granted","EC",NA
"1337","SIA/OR/NCP/38208/2016","SEIAA/38208/03-NCP/01-2016","Expansion of AMRI Hospital from 313 Beds to 400 Beds","AMRI HOSPITALS LIMITED","EC Granted - Processed offline","EC",NA
"1338","SIA/OR/MIN/419224/2023","419224/887-MINB2/03-2023","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR ANJIRA BLACK STONE QUARRY NO 14 OVER AN AREA OF 2.023 HECTARE OR 5.00 ACRESE IN VILLAGE ANJIRA UNDER DHARMASALA TAHASIL AND JAJPUR DISTRICT","DEEPINDER MALHOTRA","Awaiting EC","EC",NA
"1339","SIA/OR/IND2/23262/2018","23262/343-IND2/03-2018","PRODUCTION OF 1.620 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, TAPARNA MAIN O S LIQUOR SHOP AT TAPARNA, DIST. - BOUDH","MR KARUNAKR SAHU","EC Granted","EC",NA
"1340","SIA/OR/INFRA2/428068/2023","428068/113-INFRA2/05-2023","Proposed Construction of Residential Building (EB+S+14) & Commercial Complex (B+G+4) Building of M/s Creative Estcon Pvt. Ltd.","CREATIVE ESTCON PRIVATE LIMITED","Under examination of SEAC","EC",NA
"1341","SIA/OR/MIN/406856/2022","406856/796-MINB1/02-2023","Kerandi sand Bed Mining","G. VENKATA RAMANA","ADS by SEAC","EC",NA
"1342","SIA/OR/IND2/22314/2018","22314/201-IND2/03-2018","Sason O.S. Shop","MD. Q. ZAMAN & MD. MOOSA WARSI","EC Granted","EC",NA
"1343","SIA/OR/MIN/423782/2023","423782/588-MINB1/03-2023","Karlichuan Decorative Stone Mine over an area of 16.62 acres or 6.726 Ha located in Village Karlichuan, Tahasil Tentulikhunti, District Nabarangpur, Odisha.","PADMA PARI","EC Granted","EC",NA
"1344","SIA/OR/IND2/28968/2018","28968/559-IND2/09-2018","PRODUCTION OF 0.81 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, MALIKUD MAIN O S LIQUOR SHOP AT- MALIKUD, DIST. - BOUDH","KRUSHNA CHANDRA SAHU","EC Granted","EC",NA
"1345","SIA/OR/IND2/26006/2018","26006/395-IND2/05-2018","Kadobahal OS shop","MD. SHAHID HUSSAIN &  MD. RAHAT HUSSAIN","EC Granted","EC",NA
"1346","SIA/OR/IND/29913/2017","","Jajpur Cements Private Limited","JAJPUR CEMENTS PRIVATE LIMITED","EC Granted","EC",NA
"1347","SIA/OR/MIN/404480/2022","404480/820-MINB2/11-2022","Diajodi Stone Quarry-III over an area of 1.64 acres or 0.6639 hectares in village Diajodi under Karanjia Tahasil in Mayurbhanj District, Odisha.","TAHASILDAR KARANJIA","Delisted","EC",NA
"1348","SIA/OR/IND2/26147/2018","26147/414-IND2/05-2018","HINDOL TOWN OUT STILL LIQUOR MAIN SHOP","PRAKASH KUMAR SAHOO","EC Granted","EC",NA
"1349","SIA/OR/MIN/48575/2016","48575/1453-NCM/02-2016","BALIPAL SAND BED","DHIRENDRA MOHAN PANDA","EC Granted - Processed offline","EC",NA
"1350","SIA/OR/MIN/284264/2022","284264/359-MINB2/07-2022","Proposal for EC of AREDA SAND QUARRY over an area 12.20acres or 4.937hectares in village Areda under Khariar tahasil of Nuapada district Odisha","KHARIAR TAHASIL","EC Granted","EC",NA
"1351","SIA/OR/MIN/81116/2021","81116/288-MINB1/08-2022","BALIGORAD SAND MINE OVER AN EXTENT AREA OF 5.435 HA, RAMIAL RIVER, AT BALIGORAD VILLAGE, KAMAKHYANAGAR TAHASIL, DHENKANAL DISTRICT, ODISHA STATE","TAHASILDAR KAMAKHYANAGAR","EC Granted","EC",NA
"1352","SIA/OR/MIN/284637/2022","","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR ANJIRA BLACK STONE QUARRY BSQ 5 OVER AN AREA OF 2.428 HECTARE OR 6.00 ACRESE IN VILLAGE ANJIRA UNDER DHRMASALA TAHASIL AND DISTRICT OF JAJPUR ODISHA","DEEPINDER MALHOTRA","Delisted","EC",NA
"1353","SIA/OR/MIN/248667/2021","","K-SAMSINGHA SAND BED, OVER AN AREA 4.856 Ha. KHATA NO: 490(AAA), PLOT NO: 1650(P), AT: K-SAMSINGHA, TAHASIL: KOLABIRA, DIST: JHARSUGUDA, ODISHA.","PRIYANANADA PATEL","Delisted","EC",NA
"1354","SIA/OR/MIN/243972/2021","243972/186-MINB2/01-2022","NEW PROPOSAL FOR GRANT OF EC OF UPPALADA STONE QUARRY-V OVER AN AREA OF 11.094 ACRES OR 4.490 HECTARES BEARING KHATA NO.376,PLOT NO.1723/2 IN VILLAGE UPPALADA, TAHASIL-PARLAKHEMUNDI,DISTRICT-GAJAPATI,ODISHA, APPLICANT-SRI R.RAGHUPATI RAO","R.RAGHUPATI RAO","EC Granted","EC",NA
"1355","SIA/OR/MIN/63923/2021","","Padampuri Stone Quarry 2","TAHSILDAR NUAPADA","WithdrawEC","EC",NA
"1356","SIA/OR/IND2/28061/2018","28061/493-IND2/07-2018","Lastala O.S. Shop","I AHMAD AND I AHMAD","EC Granted","EC",NA
"1357","SIA/OR/IND2/20314/2017","20314/43-IND2/10-2017","825 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MOHANA OS SHOP","MONOJ KUMAR SAHU","EC Granted","EC",NA
"1358","SIA/OR/MIN/41963/2016","41963/1239-NCM/01-2016","NIJAGARH TAPANGA HATIA (UNA BLOCK) CONSTRUCTION STONE QUARRY","DURGAMADHAB BALIARSINGH","Delisted","EC",NA
"1359","SIA/OR/MIN/50495/2016","50495/1511-NCM/03-2016","Brahmani River Sand Gangadharpur Quarry over 5.058 Ha in Aul Tahasil of Kendrapara District Odisha.","SUSHANT  PRADHAN","EC Granted - Processed offline","EC",NA
"1360","SIA/OR/MIN/405647/2022","","Kotadwara Sand Ghat over an area of 50.0 acres (20.235ha.) is located in mouza - Patugadadharpur, Tahasil – Banki, in district Cuttack of Odisha.","ABHISEK MOHANTY.","Pending at PP due to eds","EC",NA
"1361","SIA/OR/IND2/21929/2018","21929/170-IND2/02-2018","Production of 2.70 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Odiamunda Main Out Still Shop at Odiamunda, Tehsil- M.Rampur, Dist-Kalahandi","AMAN RAJ","EC Granted","EC",NA
"1362","SIA/OR/IND2/22151/2018","22151/185-IND2/02-2018","Production of 0.630 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Kansdol Main Out Still Shop at Kansdol, Tahasil- Barpalli, Dist- Bargarh","PRABHASH KUMAR SAHU","EC Granted","EC",NA
"1363","SIA/OR/MIN/48053/2016","","BAJRAKOTE STONE QUARRY","BAJRAKOTE STONE QUARRY","Delisted","EC",NA
"1364","SIA/OR/MIN/50513/2016","","MOHANPUR STONE QUARRY","LALATENDU SAHOO","Delisted","EC",NA
"1365","SIA/OR/MIN/71840/2017","71840/1947-NCM/01-2018","HALDI SAND QUARRY","SANTOSH KUMAR SAHU HALDI","EC Granted","EC",NA
"1366","SIA/OR/MIN/41207/2016","41207/1170-NCM/01-2016","BADAPINDAPADAR STONE QUARRY","MADHUSUDAN MOHAKAR","Delisted","EC",NA
"1367","SIA/OR/IND2/21812/2018","21812/122-IND2/01-2018","Production of 4.86 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Patnagarh NAC Main Out Still Shop at Patnagarh NAC, Tehsil- Patnagarh,  Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1368","SIA/OR/IND2/26026/2018","26026/399-IND2/05-2018","Sargiguda O.S. Shop","M/S BALDEV SAHU AND SONS","EC Granted","EC",NA
"1369","SIA/OR/MIN/41485/2016","41485/1208-NCM/01-2016","Birmal Stone Quarry Over lease area of 0.30 acres/0.121 ha located at Village- Birmal, Tahasil- Bargarh, District- Bargarh","CHANDRA SEKHAR DASH","Delisted","EC",NA
"1370","SIA/OR/MIN/414527/2023","","Proposal for Fresh Environmental Clearance of Uchhabapalli Stone Quarry-6 over an area of 7.50 Acres or 3.035 Hectares in village Uchhabapalli under Loisingha tahasil of Balangir district.","TAHASILDAR LOISINGHA","Pending at PP due to eds","EC",NA
"1371","SIA/OR/MIN/63251/2017","","BANKIA QUARTZ & GEMSTONE DEPOSIT","MANIKESWARI MINERALS","Delisted","EC",NA
"1372","SIA/OR/MIN/417331/2023","","Proposal for Environment Clearance of Raihari  Stone Quarry over an area of 2.89 acres or 1.169 hectares in village Raihari under Bijatala Tahasil in Mayurbhanj District, Odisha.","JAGABANDHU MALLIK","Pending at PP due to eds","EC",NA
"1373","SIA/OR/MIN/404468/2022","404468/821-MINB2/11-2022","Chilgaon Sand Bed","Public Works Department","Delisted","EC",NA
"1374","SIA/OR/MIN/48695/2016","48695/1461-NCM/02-2016","Gangajhola Road Metal Quarry Over lease area of 8.00 acres or 3.237 ha located at Village- Gangajhola, Tahasil- Ghumsur(Bhanjanagar), District- Ganjam","ASHOK KUMAR PANDA","Delisted","EC",NA
"1375","SIA/OR/IND2/21651/2018","21651/103-IND2/01-2018","Production of 2.430 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Chudapali Main Out Still Shop at Chudapali, Tahasil- Balangir, Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1376","SIA/OR/MIN/50812/2016","50812/1647-NCM/05-2016","Raikala Stone Quarry Over lease area of 14.910 acres/6.034 ha located at Village- Raikala, Tahasil- Patna, District- Keonjhar","SATYENDRA KUMAR MISHRA","EC Granted","EC",NA
"1377","SIA/OR/MIN/422488/2023","422488/900-MINB2/03-2023","Proposal for Fresh EC of Kathajodi River Sand, Kalapada over an area of 10.50 Acres, or 4.249 Hectares at village-Kalapada, Tahasil-Cuttack Sadar of Cuttack district, Odisha","Revenue Department","Under examination of SEAC","EC",NA
"1378","SIA/OR/MIN/53083/2016","53083/1653-NCM/05-2016","THELKOLOI SAND QUARRY-I","OFFICE OF THE TAHASILDAR RENGALI","EC Granted - Processed offline","EC",NA
"1379","SIA/OR/IND2/26180/2018","26180/432-IND2/05-2018","1872 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED DEBABHUMI CHHACK MAIN OUT STILL SHOP","MR MAHESWAR PRADHAN","EC Granted","EC",NA
"1380","SIA/OR/IND2/61634/2017","","1000 LTR DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURING UNIT
MAIN OUT STILL LIQUOR SHOP BADAKUSHASTHALI","MAIN OUT STILL LIQUOR SHOP BADAKUSHASTHALI","Delisted","EC",NA
"1381","SIA/OR/MIN/402663/2022","","Subendangar Stone Quarry- II","RAJESWAR THAKUR","Under examination of SEIAA","EC",NA
"1382","SIA/OR/MIN/41241/2016","41241/1182-NCM/01-2016","JANIGUDA STONE QUARRY","P ADINARAYAN","Delisted","EC",NA
"1383","SIA/OR/MIN/42783/2016","42783/1370-NCM/01-2016","GODMUNDA STONE QUARRY","PAWAN KUMAR AGARWAL","Delisted","EC",NA
"1384","SIA/OR/IND2/23818/2018","23818/362-IND2/04-2018","Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit , Hariharpur Main Out Still Shop at Hariharpur, Tehsil- Lanjigarh, PS- Lanjigarh, Dist-Kalahandi","HARENDRA PRASAD SAHU","EC Granted","EC",NA
"1385","SIA/OR/MIN/424915/2023","","Nilakanthapada Sand Quarry over an area of 54.20 acres or 21.934Ha bearing Khata No. 72, Plot No. 762(P) in Village Nilakanthapada, Tahasil Athmallik, District Angul, State Odisha.","APOLLO KUMAR GARNAYAK","Pending at PP due to eds","EC",NA
"1386","SIA/OR/MIN/76961/2018","","SIDHUA R/S JARIPADA SAND QUARRY","PRANAKRUSHNA NAYAK","Delisted","EC",NA
"1387","SIA/OR/IND2/22718/2018","22718/309-IND2/03-2018","Sarasbahal O.S. Shop","BHOLANATH SAHOO","EC Granted","EC",NA
"1388","SIA/OR/MIN/49890/2016","49890/1504-NCM/03-2016","Suramani Sand Quarry","BALAKRUSHNA JENA","EC Granted - Processed offline","EC",NA
"1389","SIA/OR/MIN/404022/2022","","Khilamunda- II Stone Quarry over an area of 5.00 Acers or 2.023 Ha having Khata No. 16 Plot No. 114 in the village Khilamunda, Tahasil Padmapur in district Rayagada, State Odisha. on favour of Sri Gourinath Mahapatro","GOURINATH MOHAPATRA","Pending at PP due to eds","EC",NA
"1390","SIA/OR/IND2/22397/2018","22397/208-IND2/03-2018","3777 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED CHATRAPUR OS SHOP","DAMBURUDHAR SAHU","EC Granted","EC",NA
"1391","SIA/OR/MIN/53081/2016","53081/1651-NCM/05-2016","GUMAKARAMA SAND QUARRY","OFFICE OF THE TAHASILDAR RENGALI","EC Granted","EC",NA
"1392","SIA/OR/MIN/424901/2023","424901/324-MINB1/04-2023","PROPOSAL FOR ENVIRONMENT CEARANCE OF TURKANIGUDA SAND BED OVER AN AREA OF 5.058 HA / 12.50 ACRE LOCATED AT VILLAGE- TURKANIGUDA, TAHASIL- GUNUPUR, DISTRICT - RAYAGADA","TAHSILDAR GUNUPUR","Agenda Uploaded by SEAC","EC",NA
"1393","SIA/OR/IND2/72542/2018","","LUTHURPANK O.S. SHOP","SARJAN SAHU","Delisted","EC",NA
"1394","SIA/OR/IND2/22131/2018","22131/176-IND2/02-2018","Production of 1.530 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Paikmal Main Out Still Shop at Paikmal, Tahasil- Paikmal, Dist- Bargarh","PRABHASH KUMAR SAHU","EC Granted","EC",NA
"1395","SIA/OR/MIN/42297/2016","42297/1377-NCM/01-2016","GUDIALI STONE QUARRY","SRI GOBINDA JENA","Delisted","EC",NA
"1396","SIA/OR/IND2/21816/2018","21816/124-IND2/01-2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Telenpali Main Out Still Shop at Telenpali, Tehsil- Patnagarh,  Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1397","SIA/OR/IND2/21889/2018","21889/136-IND2/02-2018","PRODUCTION OF 4.050 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, BISAM CUTTACK MAIN O S LIQUOR SHOP AT- BISAM CUTTACK, DIST. RAYAGADA","SUBASH CHANDRA AGRAWAL","EC Granted","EC",NA
"1398","SIA/OR/IND2/22648/2018","22648/263-IND2/03-2018","Malivata O.S. Shop","RITESHSAHU","EC Granted","EC",NA
"1399","SIA/OR/MIN/48997/2016","48997/1489-NCM/02-2016","BADADUNDU SAND BED - I","CHANDRA SEKHAR YADAV","Delisted","EC",NA
"1400","SIA/OR/MIN/39116/2016","SEIAA/39116/1100-NCM/01-2016","BAHADJHOLA SAND QUARRY","PRASANNA KUMAR SAHOO","EC Granted - Processed offline","EC",NA
"1401","SIA/OR/IND2/22641/2018","22641/260-IND2/03-2018","Parkod O.S. Shop","GOPALPRASAD","EC Granted","EC",NA
"1402","SIA/OR/MIN/34278/2015","34278/1136-NCM/01-2016","Narangpur Stone Quarry","CHINMAY KHUNTIA","Delisted","EC",NA
